ngram,freq,cumshare
quite,19248923,0.668
getting,18957298,0.668
friend,18872561,0.669
ask,18510692,0.669
happened,18474142,0.669
second,18459417,0.670
arm,18389857,0.670
lot,18377920,0.670
making,18223764,0.671
floor,18118922,0.671
opened,18055489,0.671
needed,17971474,0.671
boy,17861070,0.672
full,17768247,0.672
reached,17671282,0.672
dead,17654179,0.673
high,17643891,0.673
bit,17640167,0.673
perhaps,17590217,0.674
deep,17354836,0.674
matter,17327073,0.674
taken,17320287,0.674
red,17295112,0.675
kept,17289222,0.675
whole,17264898,0.675
probably,17252102,0.676
stopped,17248587,0.676
shook,17231228,0.676
moved,17226206,0.677
lips,17185080,0.677
sound,17161642,0.677
idea,17157680,0.677
feeling,17087764,0.678
alone,17078079,0.678
money,17064393,0.678
able,16955208,0.679
rest,16945435,0.679
brought,16939041,0.679
word,16882211,0.679
sorry,16881392,0.680
breath,16869689,0.680
finally,16861646,0.680
taking,16842205,0.681
remember,16798389,0.681
okay,16760568,0.681
suddenly,16682114,0.681
everyone,16619964,0.682
five,16582258,0.682
care,16552551,0.682
four,16535495,0.683
sir,16418247,0.683
phone,16301941,0.683
miss,16211749,0.683
times,16197232,0.684
anyone,16103578,0.684
thinking,16100628,0.684
point,16057941,0.684
bad,16040348,0.685
stay,16025995,0.685
understand,15841433,0.685
outside,15825038,0.686
women,15823923,0.686
wife,15811195,0.686
fact,15775844,0.686
quickly,15703604,0.687
turn,15702060,0.687
ready,15639982,0.687
either,15627001,0.687
lost,15585048,0.688
brother,15542957,0.688
please,15520027,0.688
friends,15497176,0.688
children,15496751,0.689
year,15440319,0.689
fire,15389289,0.689
minutes,15368517,0.689
hope,15341264,0.690
others,15340985,0.690
fingers,15287981,0.690
use,15124467,0.691
blood,15091041,0.691
death,15039665,0.691
forward,14935396,0.691
school,14880077,0.692
window,14847078,0.692
case,14833299,0.692
ran,14804444,0.692
child,14796664,0.693
ground,14772761,0.693
try,14746392,0.693
read,14533562,0.693
fine,14528706,0.694
lady,14511800,0.694
top,14510271,0.694
real,14508086,0.694
different,14490451,0.694
met,14474940,0.695
wrong,14472230,0.695
talking,14458135,0.695
move,14383432,0.695
run,14369946,0.696
slowly,14341627,0.696
son,14334671,0.696
waiting,14323671,0.696
ago,14305832,0.697
wait,14197429,0.697
large,14177886,0.697
given,14154577,0.697
person,14130569,0.698
rather,14089005,0.698
cold,14061269,0.698
replied,14050475,0.698
wall,14027357,0.699
blue,14014281,0.699
watched,13965585,0.699
closed,13963794,0.699
shall,13912894,0.700
happy,13761894,0.700
true,13748449,0.700
show,13739057,0.700
standing,13685224,0.700
question,13676308,0.701
business,13654900,0.701
answer,13613012,0.701
hold,13608101,0.701
shoulder,13584907,0.702
caught,13562664,0.702
book,13508528,0.702
office,13483730,0.702
thank,13436382,0.703
laughed,13418220,0.703
street,13415147,0.703
known,13408830,0.703
town,13399845,0.703
followed,13308696,0.704
reason,13222648,0.704
pretty,13211927,0.704
city,13190732,0.704
chair,13170655,0.705
several,13104108,0.705
fell,13080595,0.705
story,13050515,0.705
onto,13018253,0.705
towards,12999486,0.706
sister,12995702,0.706
sitting,12947086,0.706
instead,12887157,0.706
however,12882348,0.707
hours,12839491,0.707
short,12811559,0.707
continued,12796133,0.707
chest,12778303,0.707
saying,12776050,0.708
near,12711637,0.708
road,12668787,0.708
less,12629227,0.708
eye,12567788,0.708
passed,12517305,0.709
living,12492244,0.709
longer,12442576,0.709
yeah,12442432,0.709
sense,12425184,0.710
actually,12417364,0.710
dad,12383482,0.710
rose,12333137,0.710
hell,12326765,0.710
above,12307752,0.711
beautiful,12242961,0.711
speak,12203789,0.711
live,12203049,0.711
job,12194042,0.711
stared,12167987,0.712
start,12114234,0.712
king,12112518,0.712
line,12090792,0.712
round,12083724,0.712
spoke,12047168,0.713
today,12032424,0.713
walk,11958227,0.713
sleep,11897867,0.713
within,11828259,0.713
kitchen,11823313,0.714
chance,11815178,0.714
returned,11810094,0.714
ten,11798159,0.714
glass,11791271,0.714
bring,11766386,0.715
hour,11735819,0.715
late,11712958,0.715
meant,11699394,0.715
clear,11650512,0.715
meet,11615324,0.716
whatever,11607926,0.716
during,11554935,0.716
baby,11531795,0.716
twenty,11470034,0.716
change,11464812,0.717
looks,11420204,0.717
lord,11409618,0.717
lay,11348961,0.717
couple,11319607,0.717
skin,11307388,0.718
pain,11264417,0.718
husband,11262284,0.718
become,11259692,0.718
sent,11259109,0.718
attention,11198105,0.719
cut,11192041,0.719
decided,11189055,0.719
guy,11183194,0.719
watch,11138066,0.719
power,11137503,0.719
beside,11132414,0.720
neck,11058371,0.720
legs,10997206,0.720
running,10975527,0.720
evening,10950945,0.720
free,10950164,0.721
stepped,10926195,0.721
exactly,10922426,0.721
sort,10910630,0.721
working,10909255,0.721
hot,10835144,0.722
truth,10831449,0.722
watching,10819979,0.722
holding,10816679,0.722
fear,10804811,0.722
gaze,10797435,0.722
sometimes,10790501,0.723
loved,10788889,0.723
nice,10774320,0.723
six,10750715,0.723
although,10702334,0.723
possible,10675939,0.724
daughter,10672177,0.724
glanced,10648618,0.724
answered,10524611,0.724
hurt,10522082,0.724
leaving,10505677,0.724
week,10487047,0.725
silence,10485117,0.725
sun,10438213,0.725
stand,10411446,0.725
became,10400590,0.725
yourself,10327273,0.725
mom,10290741,0.726
filled,10264544,0.726
green,10241879,0.726
tears,10197002,0.726
police,10151707,0.726
often,10088904,0.727
order,10030895,0.727
raised,10028118,0.727
strong,10025409,0.727
return,10024837,0.727
appeared,10018859,0.727
guess,10014394,0.728
shot,10010492,0.728
seeing,9992850,0.728
food,9991420,0.728
sit,9970325,0.728
certain,9919050,0.728
hit,9917713,0.729
die,9869194,0.729
straight,9858385,0.729
girls,9846812,0.729
seat,9808020,0.729
pushed,9793101,0.729
shoulders,9781204,0.730
number,9777122,0.730
parents,9766521,0.730
low,9745399,0.730
hundred,9742671,0.730
corner,9724033,0.730
war,9690776,0.731
early,9672548,0.731
dear,9633171,0.731
whether,9626473,0.731
mine,9612019,0.731
afraid,9574665,0.731
picked,9564530,0.732
seem,9546127,0.732
touch,9541813,0.732
poor,9541091,0.732
added,9538648,0.732
kill,9538136,0.732
wish,9537861,0.732
leaned,9537052,0.733
whispered,9487060,0.733
play,9455823,0.733
throat,9403694,0.733
human,9360786,0.733
step,9358933,0.733
coffee,9321486,0.734
country,9320983,0.734
dinner,9260137,0.734
easy,9245637,0.734
dropped,9228569,0.734
worked,9227721,0.734
moving,9225865,0.735
quiet,9221433,0.735
anyway,9182021,0.735
doctor,9161914,0.735
thoughts,9152996,0.735
realized,9152285,0.735
sight,9130679,0.735
kiss,9096826,0.736
months,9094637,0.736
earth,9087148,0.736
warm,9062304,0.736
building,9028725,0.736
except,9020552,0.736
themselves,9014262,0.737
died,9012795,0.737
knows,8971340,0.737
waited,8970551,0.737
strange,8961976,0.737
clothes,8929181,0.737
immediately,8926655,0.737
noticed,8920514,0.738
soft,8917535,0.738
closer,8904091,0.738
among,8817139,0.738
control,8797650,0.738
wondered,8775051,0.738
hall,8761248,0.739
safe,8739028,0.739
deal,8735981,0.739
nearly,8726623,0.739
expression,8709078,0.739
tonight,8654131,0.739
fast,8628386,0.739
walking,8624132,0.740
thanks,8623041,0.740
minute,8610441,0.740
trouble,8584533,0.740
led,8554394,0.740
beyond,8554393,0.740
news,8554322,0.740
means,8552562,0.741
horse,8543145,0.741
killed,8523823,0.741
arrived,8523068,0.741
beneath,8507915,0.741
figure,8498878,0.741
edge,8474914,0.741
shut,8471941,0.742
desk,8467504,0.742
cried,8465890,0.742
heavy,8456174,0.742
captain,8448500,0.742
giving,8447827,0.742
middle,8431715,0.742
doubt,8431497,0.743
telling,8407651,0.743
happen,8398412,0.743
changed,8398403,0.743
paper,8390620,0.743
wide,8389632,0.743
fall,8388876,0.743
turning,8387307,0.744
lifted,8372633,0.744
none,8362934,0.744
finished,8339805,0.744
sky,8338178,0.744
shirt,8311620,0.744
nor,8305436,0.744
foot,8303792,0.745
company,8287528,0.745
certainly,8285554,0.745
wind,8271219,0.745
sea,8247453,0.745
land,8242979,0.745
conversation,8242220,0.745
seems,8227593,0.746
empty,8215191,0.746
makes,8204460,0.746
married,8195423,0.746
party,8173237,0.746
important,8167881,0.746
surprised,8158918,0.746
drink,8129937,0.746
grabbed,8127636,0.747
drew,8124445,0.747
indeed,8104165,0.747
dog,8089786,0.747
knowing,8051222,0.747
stone,8038317,0.747
simply,8036374,0.747
state,7976454,0.748
whom,7965272,0.748
spent,7950508,0.748
fight,7931907,0.748
boys,7929377,0.748
especially,7901863,0.748
plan,7900817,0.748
trees,7895383,0.749
covered,7871631,0.749
problem,7841665,0.749
glad,7836006,0.749
liked,7828390,0.749
perfect,7820059,0.749
bag,7798860,0.749
master,7757686,0.749
tomorrow,7757337,0.750
group,7751912,0.750
eat,7750686,0.750
break,7739192,0.750
whose,7731663,0.750
pointed,7712202,0.750
lived,7708728,0.750
quick,7704008,0.751
further,7692388,0.751
itself,7691967,0.751
weeks,7677369,0.751
space,7656743,0.751
tree,7654765,0.751
supposed,7644063,0.751
placed,7642237,0.751
completely,7621125,0.752
dress,7617051,0.752
remembered,7608679,0.752
ahead,7594931,0.752
steps,7587423,0.752
worry,7542901,0.752
ship,7538951,0.752
afternoon,7528960,0.752
trust,7526294,0.753
river,7521813,0.753
comes,7513804,0.753
information,7488697,0.753
meeting,7486374,0.753
surprise,7428798,0.753
brown,7422598,0.753
pay,7398741,0.753
questions,7389004,0.754
single,7380675,0.754
laugh,7377352,0.754
box,7368597,0.754
general,7364500,0.754
wonder,7346267,0.754
expected,7320031,0.754
distance,7292400,0.754
broken,7281726,0.755
position,7274654,0.755
present,7263965,0.755
force,7252165,0.755
drive,7247809,0.755
sighed,7243725,0.755
kissed,7229556,0.755
finger,7223819,0.755
suppose,7217903,0.756
church,7208095,0.756
entered,7180356,0.756
letter,7167725,0.756
nose,7165804,0.756
form,7159433,0.756
tone,7152768,0.756
direction,7134383,0.756
age,7113305,0.757
damn,7111479,0.757
silent,7103078,0.757
somewhere,7102234,0.757
area,7061244,0.757
books,7060898,0.757
staring,7057771,0.757
piece,7055066,0.757
follow,7021078,0.757
sweet,7014307,0.758
bright,6993603,0.758
hers,6974939,0.758
sign,6966294,0.758
kids,6959245,0.758
gun,6957926,0.758
teeth,6938684,0.758
wearing,6914201,0.758
carried,6909430,0.759
pressed,6903427,0.759
broke,6889325,0.759
headed,6881385,0.759
agreed,6856931,0.759
neither,6833336,0.759
game,6790315,0.759
future,6788099,0.759
view,6784585,0.759
following,6779263,0.760
listen,6778976,0.760
uncle,6778630,0.760
worse,6770367,0.760
entire,6769528,0.760
wants,6756773,0.760
showed,6749978,0.760
secret,6741499,0.760
pull,6688586,0.761
sounds,6686772,0.761
pocket,6681263,0.761
self,6676479,0.761
law,6666735,0.761
check,6662998,0.761
lives,6654073,0.761
thick,6650717,0.761
pleasure,6617955,0.761
tongue,6616395,0.762
forget,6615817,0.762
slightly,6609724,0.762
stairs,6608998,0.762
gold,6606801,0.762
visit,6604905,0.762
rolled,6603237,0.762
shrugged,6578790,0.762
paused,6576461,0.762
stomach,6574894,0.763
situation,6573087,0.763
walls,6570344,0.763
below,6527753,0.763
ones,6494568,0.763
managed,6487164,0.763
lying,6484587,0.763
tall,6449050,0.763
barely,6442261,0.763
huge,6437267,0.764
touched,6432826,0.764
soul,6393042,0.764
catch,6392141,0.764
bar,6390379,0.764
thirty,6386626,0.764
remained,6359396,0.764
gently,6356552,0.764
somehow,6352563,0.764
quietly,6349268,0.764
sounded,6335267,0.765
alive,6328887,0.765
darkness,6327907,0.765
stuff,6319875,0.765
hung,6317103,0.765
reach,6314985,0.765
send,6309021,0.765
seven,6279725,0.765
talked,6278601,0.765
tea,6275120,0.766
tired,6274224,0.766
dressed,6261465,0.766
bedroom,6252823,0.766
threw,6250288,0.766
grew,6243239,0.766
beginning,6226694,0.766
angry,6225790,0.766
thousand,6223045,0.766
tight,6219679,0.767
mark,6213051,0.767
ear,6212050,0.767
save,6211105,0.767
special,6201992,0.767
guys,6198154,0.767
knees,6186546,0.767
clearly,6145676,0.767
allowed,6143020,0.767
imagine,6125095,0.767
picture,6120558,0.768
serious,6112073,0.768
music,6102990,0.768
offered,6101356,0.768
hey,6095055,0.768
hardly,6087613,0.768
playing,6076807,0.768
eight,6061924,0.768
tiny,6058900,0.768
heat,6057277,0.768
handed,6056555,0.769
interest,6043944,0.769
crowd,6039757,0.769
aunt,6033014,0.769
smiling,6017175,0.769
promise,6015321,0.769
slow,6014952,0.769
