ngram,freq,cumshare
país,3997507,0.572
hoy,3996968,0.572
desarrollo,3994212,0.573
ir,3989510,0.573
situación,3985265,0.573
camino,3978729,0.573
corazón,3972839,0.574
política,3948388,0.574
junto,3935176,0.574
cambio,3926086,0.575
da,3915163,0.575
esos,3910877,0.575
demás,3866471,0.575
grandes,3863899,0.576
gobierno,3856757,0.576
guerra,3850310,0.576
algunas,3849601,0.576
largo,3846223,0.577
claro,3841167,0.577
mal,3833188,0.577
razón,3830785,0.578
todavía,3828544,0.578
visto,3801820,0.578
mirada,3790581,0.578
cara,3787308,0.579
cierto,3782244,0.579
número,3778298,0.579
quién,3754580,0.579
llegar,3740616,0.580
fuerza,3739537,0.580
soy,3723738,0.580
paso,3715973,0.580
final,3713944,0.581
siguiente,3705556,0.581
bueno,3700134,0.581
demasiado,3697915,0.581
mañana,3695258,0.582
hemos,3692574,0.582
miró,3669848,0.582
cuatro,3665274,0.583
acuerdo,3659137,0.583
hora,3652351,0.583
ti,3647517,0.583
igual,3643583,0.584
vista,3591612,0.584
obra,3590143,0.584
España,3575921,0.584
puedo,3569189,0.585
buena,3558688,0.585
pueblo,3546695,0.585
valor,3546567,0.585
gracias,3533896,0.586
habría,3496889,0.586
atención,3492517,0.586
artículo,3482963,0.586
propia,3454930,0.587
niños,3450966,0.587
siglo,3443067,0.587
sociedad,3441246,0.587
pensar,3436437,0.587
dado,3420435,0.588
hijos,3390725,0.588
nacional,3373288,0.588
ahí,3363126,0.588
capítulo,3360391,0.589
palabra,3327418,0.589
primero,3327301,0.589
esas,3308315,0.589
ellas,3300855,0.590
ningún,3294160,0.590
último,3293738,0.590
puesto,3255447,0.590
joven,3251410,0.590
diferentes,3247354,0.591
volvió,3226069,0.591
estados,3223144,0.591
horas,3221864,0.591
buen,3216280,0.592
ninguna,3215301,0.592
propio,3205265,0.592
pronto,3194563,0.592
aquellos,3190565,0.593
tus,3179457,0.593
podemos,3172711,0.593
orden,3170169,0.593
in,3154752,0.593
estás,3145070,0.594
nivel,3143373,0.594
principio,3138890,0.594
respecto,3135930,0.594
suelo,3126923,0.594
segundo,3123900,0.595
rey,3118301,0.595
partir,3109710,0.595
pesar,3109460,0.595
datos,3097431,0.596
dinero,3094961,0.596
único,3078865,0.596
casos,3075704,0.596
don,3072946,0.596
problema,3060472,0.597
dónde,3055900,0.597
problemas,3038301,0.597
seguridad,3024403,0.597
derechos,3018977,0.598
mediante,3017270,0.598
centro,3011413,0.598
cinco,3005288,0.598
nuestros,3002621,0.598
real,2982903,0.599
niño,2960449,0.599
figura,2959529,0.599
tienes,2958923,0.599
personal,2951619,0.599
uso,2949741,0.600
aire,2934056,0.600
tampoco,2932836,0.600
respuesta,2920864,0.600
voy,2917055,0.600
falta,2915931,0.601
interior,2909518,0.601
quiere,2908286,0.601
boca,2907858,0.601
tenemos,2906774,0.601
trata,2906637,0.602
salir,2880885,0.602
cerca,2879303,0.602
tuvo,2857808,0.602
pasar,2857439,0.602
san,2850338,0.603
siendo,2844136,0.603
empresa,2843647,0.603
anterior,2839938,0.603
eres,2834531,0.603
seguro,2830038,0.604
dolor,2827489,0.604
padres,2804208,0.604
control,2796442,0.604
meses,2794344,0.604
vio,2779406,0.605
ambos,2779297,0.605
silencio,2762092,0.605
pie,2759723,0.605
sabe,2757197,0.605
haciendo,2749501,0.606
os,2749385,0.606
dejar,2743342,0.606
efecto,2740565,0.606
mayoría,2729137,0.606
haya,2728762,0.607
acción,2727756,0.607
necesario,2725479,0.607
edad,2724007,0.607
varios,2714001,0.607
mesa,2699963,0.607
público,2688778,0.608
base,2686267,0.608
tenido,2685559,0.608
sociales,2682176,0.608
estudio,2681518,0.608
servicios,2668723,0.609
papel,2653110,0.609
alto,2650231,0.609
salud,2633121,0.609
vamos,2627443,0.609
puso,2620017,0.610
cabo,2619434,0.610
espacio,2618783,0.610
sangre,2606108,0.610
naturaleza,2605366,0.610
quizá,2605084,0.610
encima,2597618,0.611
clase,2596378,0.611
educación,2593522,0.611
miedo,2588186,0.611
medida,2581238,0.611
volver,2576643,0.612
amigo,2575396,0.612
actividad,2563106,0.612
dejó,2558983,0.612
hacerlo,2554358,0.612
presencia,2551521,0.612
rostro,2544938,0.613
cama,2542943,0.613
debía,2536342,0.613
favor,2528751,0.613
sentía,2526471,0.613
mente,2526291,0.613
presente,2524957,0.614
media,2524244,0.614
habitación,2517876,0.614
universidad,2517466,0.614
deben,2508605,0.614
bastante,2507315,0.615
amigos,2506784,0.615
campo,2506522,0.615
iglesia,2502298,0.615
relaciones,2501032,0.615
siquiera,2494589,0.615
última,2475129,0.616
experiencia,2473013,0.616
servicio,2471585,0.616
imagen,2463889,0.616
pequeño,2463693,0.616
función,2463129,0.616
seguir,2461825,0.617
quedó,2456603,0.617
dirección,2453884,0.617
segunda,2444264,0.617
brazos,2443927,0.617
minutos,2442203,0.617
duda,2438958,0.618
movimiento,2425504,0.618
allá,2417240,0.618
capacidad,2415919,0.618
partes,2410818,0.618
total,2407728,0.618
tenían,2407619,0.619
atrás,2406922,0.619
alrededor,2406321,0.619
países,2405990,0.619
fuerte,2397004,0.619
pregunta,2396505,0.619
ayuda,2396027,0.620
llegó,2393046,0.620
libertad,2392670,0.620
carácter,2392600,0.620
delante,2391326,0.620
necesidad,2390816,0.620
expresión,2387777,0.621
causa,2387331,0.621
condiciones,2384708,0.621
apenas,2381641,0.621
sonrisa,2373579,0.621
tema,2372728,0.621
interés,2371582,0.622
vivir,2359753,0.622
conocimiento,2356038,0.622
estamos,2350465,0.622
tomar,2340716,0.622
decía,2331145,0.622
grande,2327916,0.623
quienes,2324952,0.623
respondió,2319817,0.623
estudios,2312037,0.623
hermano,2311490,0.623
especial,2288474,0.623
fondo,2287432,0.624
sol,2286266,0.624
resto,2285122,0.624
calle,2280599,0.624
difícil,2280483,0.624
color,2254552,0.624
menor,2253479,0.625
van,2246643,0.625
alma,2246295,0.625
pequeña,2234437,0.625
objeto,2233083,0.625
encontrar,2231574,0.625
investigación,2229315,0.626
mil,2224551,0.626
formas,2214408,0.626
señora,2209509,0.626
llevaba,2208775,0.626
pasa,2208437,0.626
varias,2208292,0.626
análisis,2204592,0.627
pudo,2201179,0.627
evitar,2200286,0.627
hija,2199645,0.627
puedes,2195273,0.627
pueda,2195023,0.627
existe,2190171,0.628
éste,2188783,0.628
resultado,2181578,0.628
superior,2179752,0.628
actividades,2178082,0.628
dije,2168053,0.628
aquello,2155702,0.628
elementos,2147744,0.629
cultura,2146259,0.629
contrario,2145824,0.629
siguientes,2145596,0.629
principal,2145390,0.629
cielo,2142224,0.629
sola,2129783,0.629
mismos,2127678,0.630
espíritu,2127344,0.630
tratamiento,2124639,0.630
mar,2124066,0.630
sabes,2115027,0.630
unidos,2114114,0.630
quieres,2113158,0.631
supuesto,2112627,0.631
comunicación,2106671,0.631
nuestras,2101450,0.631
libre,2100854,0.631
recursos,2092015,0.631
par,2090627,0.631
población,2089764,0.632
diez,2088850,0.632
acerca,2086159,0.632
zona,2083227,0.632
llevar,2074802,0.632
común,2072420,0.632
pasó,2064401,0.632
proyecto,2064105,0.633
riesgo,2061785,0.633
paz,2056082,0.633
aun,2053806,0.633
época,2053745,0.633
deseo,2040440,0.633
piel,2040415,0.633
semana,2040356,0.634
organización,2038708,0.634
importancia,2037878,0.634
siento,2036748,0.634
única,2033747,0.634
alta,2033684,0.634
lejos,2023079,0.634
buenos,2019207,0.635
resultados,2018436,0.635
modelo,2016472,0.635
futuro,2014143,0.635
mercado,2011500,0.635
labios,2008340,0.635
capaz,2008327,0.635
texto,2004991,0.636
objetivo,2003987,0.636
debido,2002446,0.636
práctica,1997899,0.636
efectos,1992673,0.636
libros,1992378,0.636
grupos,1987057,0.636
cuales,1983103,0.637
producción,1981094,0.637
detrás,1980300,0.637
humano,1976055,0.637
medios,1975392,0.637
permite,1974786,0.637
posición,1970841,0.637
hacen,1965716,0.637
realizar,1963925,0.638
línea,1958706,0.638
administración,1953314,0.638
seis,1945748,0.638
finalmente,1940377,0.638
daba,1939772,0.638
arte,1934343,0.638
nuevas,1934001,0.639
vuelta,1933441,0.639
jamás,1927419,0.639
pública,1924016,0.639
humanos,1922100,0.639
encuentra,1915216,0.639
pudiera,1914317,0.639
fácil,1912390,0.639
posibilidad,1910024,0.640
sigue,1909806,0.640
miembros,1908161,0.640
existencia,1904888,0.640
entrar,1902537,0.640
u,1902303,0.640
fuego,1902218,0.640
suficiente,1902134,0.641
llegado,1902117,0.641
conocer,1899858,0.641
coche,1898226,0.641
viaje,1896167,0.641
justo,1894245,0.641
calidad,1893126,0.641
obras,1889282,0.641
equipo,1884867,0.642
debería,1883681,0.642
realmente,1883555,0.642
muestra,1880412,0.642
sean,1878211,0.642
carta,1877614,0.642
vino,1875914,0.642
natural,1860860,0.643
sintió,1858079,0.643
cantidad,1857334,0.643
blanco,1857181,0.643
paciente,1855331,0.643
diferencia,1852369,0.643
justicia,1852124,0.643
resulta,1851742,0.643
queda,1849580,0.644
empresas,1849565,0.644
energía,1839866,0.644
pensamiento,1838819,0.644
presidente,1833180,0.644
enfermedad,1832258,0.644
origen,1828675,0.644
especialmente,1827372,0.644
nuevos,1824742,0.645
ideas,1824486,0.645
valores,1824363,0.645
cuestión,1822280,0.645
ejercicio,1819388,0.645
conmigo,1818269,0.645
primeros,1816200,0.645
empezó,1815638,0.645
formación,1814171,0.646
brazo,1812066,0.646
autor,1811652,0.646
productos,1810405,0.646
plan,1810291,0.646
ve,1809674,0.646
poner,1805496,0.646
adelante,1804459,0.647
baja,1799278,0.647
pies,1798028,0.647
pensó,1794403,0.647
pacientes,1791281,0.647
arriba,1791228,0.647
conjunto,1782958,0.647
suerte,1776675,0.647
lengua,1776006,0.648
serie,1775032,0.648
lleva,1771734,0.648
político,1768524,0.648
entrada,1764940,0.648
acciones,1761812,0.648
comunidad,1761797,0.648
fe,1759909,0.648
aspecto,1757796,0.648
levantó,1757061,0.649
sueño,1755738,0.649
pelo,1752899,0.649
capital,1751103,0.649
escuela,1741073,0.649
salió,1740365,0.649
español,1738835,0.649
memoria,1738127,0.649
sitio,1732650,0.650
trabajar,1729486,0.650
música,1726242,0.650
juego,1724482,0.650
momentos,1723158,0.650
internacional,1721603,0.650
fuerzas,1721133,0.650
instante,1717589,0.650
principios,1716564,0.651
abrió,1714470,0.651
mantener,1714080,0.651
dejado,1712335,0.651
sentir,1706143,0.651
concepto,1702833,0.651
entender,1699051,0.651
tono,1695616,0.651
sala,1694702,0.652
partido,1694209,0.652
consejo,1679649,0.652
fuente,1678144,0.652
aquellas,1677979,0.652
seguía,1675533,0.652
decisión,1671651,0.652
programa,1667159,0.652
río,1666917,0.652
recuerdo,1663127,0.653
pocos,1663087,0.653
cuya,1662945,0.653
viejo,1654416,0.653
deja,1650762,0.653
jóvenes,1649621,0.653
negro,1642247,0.653
conciencia,1639033,0.653
significa,1637893,0.653
comenzó,1637302,0.654
particular,1636512,0.654
cambios,1629914,0.654
prueba,1625929,0.654
materia,1623897,0.654
tomó,1621621,0.654
mira,1620396,0.654
contenido,1619666,0.654
protección,1618863,0.655
políticas,1618775,0.655
julio,1618285,0.655
características,1618151,0.655
hermana,1615507,0.655
términos,1613397,0.655
aplicación,1610806,0.655
últimos,1610614,0.655
ido,1610299,0.655
buscar,1608849,0.656
importantes,1608806,0.656
mucha,1607749,0.656
abajo,1605140,0.656
estructura,1605122,0.656
millones,1604414,0.656
cuyo,1603162,0.656
dedos,1600753,0.656
ésta,1600694,0.656
voluntad,1597460,0.657
contestó,1585954,0.657
hechos,1585318,0.657
niña,1583155,0.657
civil,1581641,0.657
sonrió,1580297,0.657
juntos,1578566,0.657
acto,1573850,0.657
policía,1573049,0.657
éxito,1572042,0.658
jefe,1569286,0.658
sensación,1568879,0.658
procesos,1565799,0.658
somos,1560152,0.658
cuidado,1559678,0.658
cierta,1559478,0.658
cuál,1555444,0.658
comida,1552786,0.658
visión,1550930,0.659
teoría,1549625,0.659
mitad,1545012,0.659
tales,1542129,0.659
llamado,1540684,0.659
veía,1538770,0.659
imposible,1537566,0.659
principales,1537197,0.659
especie,1535295,0.659
hubo,1535116,0.659
comer,1534950,0.660
tiempos,1534686,0.660
muerto,1534072,0.660
esposa,1532120,0.660
digo,1529560,0.660
pecho,1529035,0.660
aspectos,1527534,0.660
preguntas,1524286,0.660
cuarto,1522262,0.660
central,1519999,0.661
humana,1516103,0.661
grado,1514425,0.661
apoyo,1508077,0.661
producto,1501979,0.661
simplemente,1501611,0.661
habla,1499546,0.661
puntos,1499409,0.661
distancia,1498450,0.661
teléfono,1494379,0.661
gusta,1494329,0.662
mirando,1494227,0.662
obstante,1492934,0.662
asunto,1492791,0.662
mas,1488276,0.662
consecuencia,1488250,0.662
bienes,1486039,0.662
ocasiones,1486019,0.662
espalda,1485716,0.662
peso,1485121,0.663
ropa,1480232,0.663
cocina,1479134,0.663
viene,1477486,0.663
contacto,1476927,0.663
existen,1472801,0.663
vi,1464653,0.663
tipos,1462688,0.663
