ngram,freq,cumshare
flujo,538647,0.755
perfecta,538579,0.755
logró,537969,0.755
canción,537859,0.755
pieza,537572,0.755
invierno,536723,0.755
correcto,535625,0.755
fondos,535453,0.755
publicado,535287,0.755
euros,534853,0.755
pobreza,533933,0.755
absolutamente,533846,0.755
boda,533797,0.755
habéis,533031,0.755
digital,532944,0.755
ligeramente,532850,0.755
creado,532672,0.755
diría,532466,0.755
regulación,532326,0.755
viejos,531317,0.755
andar,530844,0.755
europeo,530312,0.755
dueño,530230,0.755
conocida,530203,0.755
alcohol,529968,0.755
brillante,529691,0.755
fotos,529528,0.756
bella,529278,0.756
esquina,528958,0.756
necesarias,528808,0.756
torre,528258,0.756
suspiró,527862,0.756
sufrimiento,527217,0.756
logrado,527121,0.756
pleno,526490,0.756
cárcel,526435,0.756
ofrecer,526319,0.756
infantil,525971,0.756
cintura,525967,0.756
determinada,525831,0.756
estatal,525668,0.756
contaba,525569,0.756
diga,525478,0.756
sesenta,525336,0.756
daban,525221,0.756
impulso,525136,0.756
enfermo,525054,0.756
tocar,524942,0.756
corona,524683,0.756
azúcar,524614,0.756
dijeron,524336,0.756
sombras,524224,0.756
ordenó,524159,0.756
pasaron,523761,0.757
científico,523463,0.757
giró,523324,0.757
patrón,523125,0.757
legislación,523107,0.757
ángeles,522960,0.757
santos,522875,0.757
perdón,522777,0.757
corta,522511,0.757
estancia,522162,0.757
suficientemente,522000,0.757
aparecer,521630,0.757
añadir,521511,0.757
papa,521478,0.757
sofá,521019,0.757
herida,520882,0.757
elegido,520597,0.757
abandonar,520273,0.757
sabido,520087,0.757
necesitan,520073,0.757
participar,519516,0.757
tropas,519383,0.757
restos,519360,0.757
nervioso,519132,0.757
instrucciones,518944,0.757
cáncer,518539,0.757
viven,518269,0.757
empezaba,518265,0.757
dimensiones,517864,0.758
zapatos,517859,0.758
club,517578,0.758
especies,517559,0.758
mercados,516957,0.758
extranjero,516860,0.758
orgullo,516616,0.758
plato,515782,0.758
negó,515018,0.758
raro,514759,0.758
usuarios,514565,0.758
fruto,514539,0.758
colaboración,514529,0.758
restaurante,514439,0.758
excelente,514110,0.758
mierda,514109,0.758
niñas,513864,0.758
religiosa,513824,0.758
postura,513786,0.758
taza,513583,0.758
sacerdote,513470,0.758
impuestos,513388,0.758
líquido,512530,0.758
ventas,512439,0.758
ejercicios,512165,0.758
hipótesis,511550,0.758
ventanas,510651,0.758
montón,510275,0.759
constituyen,510023,0.759
primaria,509891,0.759
empezaron,509780,0.759
nieve,509580,0.759
espaldas,509488,0.759
llave,509210,0.759
próximo,509050,0.759
hecha,509005,0.759
alzó,508903,0.759
querían,508278,0.759
numerosos,508168,0.759
teníamos,507384,0.759
minuto,507338,0.759
gobiernos,507334,0.759
mapa,506764,0.759
ingreso,506545,0.759
perros,506464,0.759
comenzar,506379,0.759
utilizando,506362,0.759
pide,506271,0.759
haré,506199,0.759
desaparecido,506173,0.759
franco,505790,0.759
señores,505494,0.759
éstas,505028,0.759
beber,504975,0.759
avión,504912,0.759
pierna,504703,0.759
mecanismo,504497,0.760
variable,504180,0.760
activos,503958,0.760
frontera,503950,0.760
sesión,503573,0.760
revisión,503177,0.760
entrenamiento,502403,0.760
resultó,502059,0.760
alianza,501886,0.760
desgracia,501698,0.760
canal,501676,0.760
puro,500433,0.760
sufrir,500241,0.760
necesariamente,499939,0.760
rendimiento,499785,0.760
botella,499250,0.760
núm,498898,0.760
monte,498847,0.760
ética,498725,0.760
vergüenza,498700,0.760
amable,497996,0.760
marcos,497755,0.760
positivo,497302,0.760
produjo,497064,0.760
edificios,496897,0.760
utilidad,496895,0.760
eh,496828,0.760
caído,496457,0.760
vienen,496377,0.761
fotografía,496373,0.761
trabajador,496366,0.761
dichas,495781,0.761
occidental,495580,0.761
cuesta,495270,0.761
señales,494634,0.761
gasto,494392,0.761
largas,494326,0.761
llevaban,494055,0.761
electrónico,493702,0.761
producido,493595,0.761
comerciales,493591,0.761
ama,493158,0.761
subió,493146,0.761
morales,493137,0.761
paseo,493013,0.761
té,492822,0.761
conviene,492777,0.761
particulares,492727,0.761
humo,492591,0.761
locura,492495,0.761
eficaz,491870,0.761
observación,491859,0.761
cuyas,491303,0.761
escucha,491064,0.761
vías,490816,0.761
resumen,490347,0.761
posee,489949,0.761
signo,489548,0.762
entusiasmo,489364,0.762
escritos,489343,0.762
remedio,489155,0.762
generar,489151,0.762
fundación,488989,0.762
pretende,488922,0.762
aprendido,488832,0.762
definir,488565,0.762
síndrome,488334,0.762
querida,488011,0.762
estando,487587,0.762
testimonio,487552,0.762
reciente,487544,0.762
comité,487405,0.762
inclinó,487136,0.762
intenta,487009,0.762
artes,486946,0.762
amante,486742,0.762
vuelo,486105,0.762
técnico,485925,0.762
montañas,485731,0.762
combate,485618,0.762
estrella,485196,0.762
presentó,485188,0.762
despacio,484916,0.762
reglamento,484891,0.762
huesos,484623,0.762
blancos,484465,0.762
cola,484419,0.762
desierto,483944,0.763
contratos,483905,0.763
facilidad,483246,0.763
electoral,483189,0.763
iguales,483067,0.763
dé,483019,0.763
decidir,482587,0.763
mensajes,482449,0.763
demostrar,482373,0.763
tranquila,481948,0.763
citado,481750,0.763
hacienda,481656,0.763
poema,481305,0.763
utilizan,481022,0.763
residencia,480786,0.763
recuperación,480580,0.763
parar,480404,0.763
entendido,480397,0.763
deberían,480371,0.763
continúa,480132,0.763
católica,479844,0.763
francesa,479602,0.763
fracaso,479239,0.763
regresó,479144,0.763
vieron,478775,0.763
pantalones,478634,0.763
tomo,478359,0.763
composición,478343,0.763
creciente,477931,0.763
desconocido,477791,0.764
echar,477787,0.764
examen,477538,0.764
incluyendo,477463,0.764
regalo,477463,0.764
correo,477318,0.764
anciano,477045,0.764
aparato,476894,0.764
trastornos,476797,0.764
preguntar,476595,0.764
orientación,476432,0.764
ciertamente,476320,0.764
deberán,475742,0.764
comenzaron,475671,0.764
formal,475667,0.764
define,475500,0.764
ediciones,475418,0.764
finalidad,475403,0.764
dormitorio,475337,0.764
escolar,475258,0.764
previa,475178,0.764
salieron,474694,0.764
científica,474512,0.764
asegurar,474299,0.764
creencias,474088,0.764
tejido,473994,0.764
progreso,473802,0.764
banda,473653,0.764
tercero,473594,0.764
necesitamos,473454,0.764
barra,473215,0.765
pausa,472979,0.765
descanso,472942,0.765
demonios,472725,0.765
rabia,472634,0.765
disciplina,472585,0.765
costumbres,472484,0.765
determinados,472463,0.765
pregunto,472399,0.765
dignidad,471967,0.765
unido,471735,0.765
preparar,471729,0.765
positiva,471599,0.765
maestros,471155,0.765
prisión,470960,0.765
llegan,470935,0.765
audiencia,470837,0.765
increíble,470805,0.765
india,470167,0.765
apretó,470053,0.765
mostró,469937,0.765
cenar,469908,0.765
inteligente,469893,0.765
sucedió,469855,0.765
izquierdo,469841,0.765
previsto,469005,0.765
correspondientes,468979,0.765
raíz,468790,0.765
veremos,468623,0.765
oscura,468303,0.765
representantes,468301,0.765
iniciativa,468075,0.766
mejilla,467807,0.766
administrativo,467504,0.766
aumenta,467270,0.766
duque,466701,0.766
perfil,466505,0.766
intenso,466433,0.766
negativa,466387,0.766
encontraron,466198,0.766
financieros,465668,0.766
largos,465607,0.766
premio,465117,0.766
exclusivamente,464953,0.766
encontré,464741,0.766
coste,464698,0.766
sabían,464295,0.766
seguros,463908,0.766
incremento,463818,0.766
nació,463789,0.766
misterio,463727,0.766
habrían,463701,0.766
totalidad,463633,0.766
mejillas,463449,0.766
financiera,463154,0.766
importaba,462951,0.766
líderes,462734,0.766
efectivamente,462067,0.766
científicos,462065,0.766
reconoce,462045,0.766
separación,462040,0.766
metió,461934,0.766
vital,461886,0.767
coronel,461453,0.767
clasificación,461396,0.767
paciencia,461336,0.767
irse,461248,0.767
recoger,461105,0.767
señalar,460952,0.767
permitió,460685,0.767
funcionarios,460659,0.767
encontrarse,460532,0.767
profundidad,460333,0.767
cura,460097,0.767
formado,459930,0.767
pesos,459903,0.767
platos,459482,0.767
leído,459442,0.767
transmisión,459432,0.767
oye,459425,0.767
viajes,459361,0.767
cortes,459341,0.767
ramas,458428,0.767
responsables,458339,0.767
perdió,458090,0.767
próxima,457855,0.767
rumbo,457611,0.767
exceso,457554,0.767
convencido,457150,0.767
novia,457033,0.767
angustia,456844,0.767
paisaje,456836,0.767
alternativa,456685,0.767
existía,456619,0.768
salvador,456502,0.768
cristiana,456045,0.768
rapidez,455186,0.768
baile,455073,0.768
infierno,454988,0.768
argumento,454833,0.768
liberación,454822,0.768
salto,454801,0.768
alas,454449,0.768
llaman,454039,0.768
consiguiente,453986,0.768
informes,453804,0.768
miradas,453796,0.768
dormido,453372,0.768
ordenador,452982,0.768
extranjeros,452849,0.768
exige,452802,0.768
cooperación,452659,0.768
propuestas,452458,0.768
intentaba,452409,0.768
publicidad,452393,0.768
vivos,452246,0.768
superar,452110,0.768
that,451893,0.768
reserva,450955,0.768
crítico,450839,0.768
oeste,450621,0.768
tráfico,450620,0.768
garantizar,450575,0.768
decían,449922,0.768
magia,449816,0.769
existir,449583,0.769
artista,449220,0.769
relacionadas,449054,0.769
castigo,448735,0.769
moneda,448685,0.769
crimen,448378,0.769
comandante,448283,0.769
recorrido,448254,0.769
diversidad,448156,0.769
efectivo,448019,0.769
proteger,448002,0.769
acabado,447669,0.769
pase,447616,0.769
apariencia,447600,0.769
pasan,447441,0.769
volví,447419,0.769
habitaciones,447391,0.769
capacidades,447029,0.769
cambió,446957,0.769
específico,446883,0.769
distinguir,446462,0.769
Biblia,446086,0.769
combinación,446080,0.769
fórmula,446031,0.769
moverse,446014,0.769
trabaja,445672,0.769
colectivo,445669,0.769
marcas,445666,0.769
dama,445648,0.769
hermoso,444837,0.769
párrafo,444458,0.769
soldado,444389,0.770
interesa,443987,0.770
acceder,443919,0.770
viviendo,443801,0.770
dejaron,443734,0.770
aventura,443702,0.770
divina,443696,0.770
seco,443674,0.770
cercano,443238,0.770
autorización,443091,0.770
despertar,443046,0.770
lago,443037,0.770
particularmente,442608,0.770
testamento,442483,0.770
enormes,442332,0.770
nubes,442210,0.770
funciona,442101,0.770
manejo,441809,0.770
normativa,441681,0.770
darme,441457,0.770
permanecer,441180,0.770
culpable,441145,0.770
rica,441123,0.770
lee,440933,0.770
consejos,440849,0.770
confusión,440635,0.770
suyos,440609,0.770
estrés,440539,0.770
muro,439999,0.770
cuadros,439852,0.770
encogió,439745,0.770
cerveza,439684,0.770
eje,439534,0.770
escuchó,439350,0.771
expresar,439226,0.771
rincón,439098,0.771
azules,438941,0.771
abiertos,438867,0.771
volvieron,438682,0.771
encontraban,438438,0.771
organismos,438432,0.771
soportar,438082,0.771
verdes,437996,0.771
cerrado,437914,0.771
delitos,437865,0.771
esquema,437740,0.771
herramienta,437643,0.771
verdaderamente,437628,0.771
solos,437461,0.771
individuales,437383,0.771
oídos,437099,0.771
quitó,436764,0.771
apertura,436455,0.771
acuerdos,436439,0.771
diera,436421,0.771
besó,436408,0.771
horizonte,436344,0.771
crónica,436139,0.771
ventaja,436076,0.771
anual,436035,0.771
empezado,435913,0.771
incluyen,435912,0.771
luchar,435904,0.771
manifestaciones,435671,0.771
dejan,435390,0.771
describe,435381,0.772
academia,434973,0.772
cuantas,434521,0.772
respirar,434138,0.772
consideraba,434112,0.772
sonriendo,434031,0.772
llevo,433967,0.772
roca,433845,0.772
símbolo,433827,0.772
fútbol,433724,0.772
apartamento,433517,0.772
actuales,433428,0.772
famoso,432889,0.772
terror,432877,0.772
vacaciones,432644,0.772
promoción,432169,0.772
genera,432151,0.772
flor,432071,0.772
alimentación,432002,0.772
setenta,431321,0.772
sorprendió,431074,0.772
ensayo,431048,0.772
meta,430918,0.772
colocó,430794,0.772
obispo,430129,0.772
promedio,430083,0.772
solas,429940,0.772
presupuesto,429746,0.772
miré,429697,0.772
demostrado,429488,0.772
jornada,429227,0.772
infección,429057,0.772
secundaria,429021,0.772
moderno,428968,0.772
alivio,428958,0.773
parcial,428837,0.773
arco,428785,0.773
títulos,428730,0.773
disminución,428621,0.773
noble,428370,0.773
frecuentes,428106,0.773
manifiesto,427940,0.773
juntas,427648,0.773
argumentos,427615,0.773
sufrido,427594,0.773
poniendo,427509,0.773
posiciones,427481,0.773
lesión,427475,0.773
malos,427358,0.773
cálculo,427241,0.773
levantar,427081,0.773
fijamente,427030,0.773
tela,426993,0.773
innovación,426677,0.773
soluciones,426626,0.773
lord,426620,0.773
manual,426415,0.773
característica,426243,0.773
destrucción,426186,0.773
educativo,426093,0.773
empleado,426060,0.773
heridas,425953,0.773
ofreció,425843,0.773
ventajas,425691,0.773
eliminar,425604,0.773
tradicionales,425423,0.773
insistió,425353,0.773
dispone,425288,0.774
renta,425161,0.774
estudiante,424925,0.774
oral,424878,0.774
sabor,424857,0.774
categorías,424803,0.774
afecta,424788,0.774
bancos,424677,0.774
habilidad,424621,0.774
cristiano,424513,0.774
nerviosa,424437,0.774
leve,424209,0.774
opiniones,424094,0.774
liberal,424045,0.774
permitido,423921,0.774
llamas,423919,0.774
interrumpió,423772,0.774
instancia,423429,0.774
relativamente,423318,0.774
mantuvo,423196,0.774
lenguas,423155,0.774
sencilla,423121,0.774
aprobación,423119,0.774
seguían,423107,0.774
descubrió,422827,0.774
evaluar,422593,0.774
repitió,422567,0.774
hijas,422515,0.774
mentira,422459,0.774
específicos,422407,0.774
dejé,422193,0.774
específica,422160,0.774
cantidades,422117,0.774
gravedad,421917,0.774
daños,421900,0.775
posteriores,421867,0.775
promesa,421703,0.775
cientos,421644,0.775
instalaciones,421461,0.775
numerosas,421292,0.775
hielo,421000,0.775
haz,420950,0.775
pista,420947,0.775
conveniente,420799,0.775
embarazo,420732,0.775
difíciles,420703,0.775
solicitud,420506,0.775
películas,420318,0.775
constantemente,420313,0.775
naturalmente,420236,0.775
termina,420066,0.775
previo,420011,0.775
escritorio,419996,0.775
referencias,419936,0.775
ocupa,419915,0.775
intentado,419863,0.775
asesinato,419250,0.775
intercambio,419078,0.775
unidas,419062,0.775
raza,418830,0.775
llegamos,418602,0.775
per,418602,0.775
botón,418545,0.775
grados,418432,0.775
documentación,418380,0.775
pacto,418264,0.775
peligroso,418247,0.775
archivos,418147,0.775
movió,418049,0.776
apoyó,417697,0.776
corporal,417386,0.776
básicos,417163,0.776
psicología,417150,0.776
firma,417082,0.776
acompañado,416378,0.776
cambia,416127,0.776
enviado,416095,0.776
quedé,416091,0.776
depresión,416013,0.776
asamblea,416004,0.776
profesión,415720,0.776
variedad,415677,0.776
teorías,415672,0.776
regional,415534,0.776
bajos,415424,0.776
afuera,415319,0.776
colectiva,415290,0.776
manifiesta,415268,0.776
elevado,415231,0.776
dinámica,415200,0.776
acercarse,414833,0.776
orilla,414668,0.776
drogas,414503,0.776
regular,414441,0.776
llamadas,414412,0.776
ochenta,414262,0.776
reuniones,414228,0.776
gas,414216,0.776
oriente,414138,0.776
hallaba,413656,0.776
corrientes,413053,0.776
sensibilidad,412855,0.776
sorprendido,412658,0.777
listo,412542,0.777
visitar,412463,0.777
usuario,412357,0.777
franceses,412137,0.777
encargado,412075,0.777
rango,411982,0.777
espectáculo,411801,0.777
conclusiones,411778,0.777
dime,411576,0.777
princesa,411294,0.777
dieta,411239,0.777
planificación,411156,0.777
escrita,411104,0.777
consideran,411087,0.777
golpes,411086,0.777
significaba,411045,0.777
casado,410812,0.777
creen,410566,0.777
vigilancia,410281,0.777
civiles,410127,0.777
notó,409346,0.777
clima,409274,0.777
deporte,409082,0.777
asumir,409010,0.777
periódicos,408968,0.777
relativa,408855,0.777
continua,408588,0.777
religioso,408444,0.777
frases,408339,0.777
suficientes,408083,0.777
primavera,407919,0.777
rio,407902,0.777
decirlo,407641,0.777
quieras,407382,0.777
ruta,407210,0.778
mexicano,406942,0.778
traído,406871,0.778
fortaleza,406803,0.778
certeza,406708,0.778
toca,406551,0.778
entera,406245,0.778
proporción,406179,0.778
metal,406160,0.778
once,406145,0.778
determinadas,405994,0.778
dedicado,405945,0.778
culto,405708,0.778
administrativa,405533,0.778
llevaron,405503,0.778
estuve,405443,0.778
buscaba,405302,0.778
visual,405280,0.778
raíces,404923,0.778
ilusión,404897,0.778
marina,404744,0.778
seguida,404641,0.778
autónoma,404525,0.778
interacción,404220,0.778
sede,403837,0.778
afirmación,403735,0.778
caballeros,403647,0.778
romper,403636,0.778
hermanas,403595,0.778
puse,403434,0.778
nave,403298,0.778
mostraba,403147,0.778
tendrán,403010,0.778
blancas,402768,0.778
supuestos,402735,0.778
alegre,402710,0.778
seno,402608,0.779
mexicana,402572,0.779
gato,402363,0.779
diablo,401830,0.779
afirmar,401823,0.779
vender,401677,0.779
herencia,401614,0.779
atender,401215,0.779
gana,401199,0.779
ricos,400884,0.779
suavemente,400820,0.779
dirige,400778,0.779
llegué,400647,0.779
ocupado,400461,0.779
municipal,400440,0.779
contener,400379,0.779
posesión,400212,0.779
preguntaba,400191,0.779
relacionado,400131,0.779
prima,400096,0.779
pertenece,400063,0.779
convenio,399847,0.779
laboratorio,399818,0.779
lateral,399795,0.779
reproducción,399693,0.779
coordinación,399666,0.779
avance,399574,0.779
alemanes,399543,0.779
salvar,399202,0.779
poderoso,399150,0.779
suponía,398906,0.779
incluir,398896,0.779
periodista,398443,0.779
pusieron,398349,0.779
sentarse,398240,0.779
malas,397992,0.780
tecnologías,397898,0.780
abrazo,397895,0.780
desarrollado,397819,0.780
laborales,397782,0.780
cometido,397771,0.780
ejecutivo,397589,0.780
costes,397587,0.780
felices,397566,0.780
secretos,397454,0.780
expansión,397378,0.780
guardar,397111,0.780
crecer,396653,0.780
dependencia,396542,0.780
corrió,396447,0.780
financiero,396427,0.780
agencia,396336,0.780
jueces,396240,0.780
merece,396138,0.780
entendía,396058,0.780
cabezas,395912,0.780
necesitas,395860,0.780
fabricación,395767,0.780
sitios,395664,0.780
romano,395475,0.780
moda,395361,0.780
conocidos,395336,0.780
costado,395170,0.780
expectativas,395085,0.780
quedaban,394857,0.780
específicas,394827,0.780
suspiro,394659,0.780
amigas,394645,0.780
cae,394585,0.780
saberlo,394161,0.780
ponen,394035,0.780
facilitar,393947,0.781
posiblemente,393885,0.781
cuchillo,393872,0.781
longitud,393729,0.781
garantía,393677,0.781
almas,393635,0.781
trabajaba,393437,0.781
contraste,393002,0.781
entrado,392963,0.781
afirmó,392920,0.781
estabas,392642,0.781
previamente,392519,0.781
pendiente,392482,0.781
seguimiento,392396,0.781
hablamos,392353,0.781
conferencia,392338,0.781
desarrolla,392306,0.781
artistas,392047,0.781
supremo,391995,0.781
muestras,391955,0.781
ben,391842,0.781
nervios,391719,0.781
núcleo,391642,0.781
participantes,391620,0.781
fuimos,391354,0.781
fiestas,391348,0.781
limpieza,391286,0.781
vistazo,391133,0.781
cadáver,390921,0.781
seas,390861,0.781
fiel,390794,0.781
actitudes,390562,0.781
reflejo,390163,0.781
dispuesta,390039,0.781
vientre,390028,0.781
básica,389791,0.781
institucional,389777,0.781
Egipto,389578,0.782
transición,389489,0.782
conversaciones,389314,0.782
fija,389138,0.782
loca,389105,0.782
desapareció,388784,0.782
materias,388361,0.782
definitivamente,388312,0.782
esclavos,388078,0.782
rechazo,387775,0.782
llegue,387774,0.782
defender,387696,0.782
guarda,387298,0.782
propone,387194,0.782
primo,387135,0.782
haberlo,386912,0.782
añade,386870,0.782
madres,386786,0.782
invitados,386502,0.782
torres,385824,0.782
muerta,385372,0.782
amar,385114,0.782
cerrada,384949,0.782
humanas,384579,0.782
legales,384551,0.782
reconoció,384502,0.782
comprende,384337,0.782
criatura,384313,0.782
copia,384306,0.782
sábado,384267,0.782
radical,384150,0.782
integral,384101,0.782
maravilloso,384077,0.782
cuidados,383862,0.782
idioma,383797,0.782
levanta,383462,0.782
lucía,383201,0.782
testigo,383147,0.783
horrible,383029,0.783
pudieron,382634,0.783
síntesis,382355,0.783
vestidos,381943,0.783
instrucción,381646,0.783
talento,381565,0.783
surge,381552,0.783
intensa,381511,0.783
debilidad,381405,0.783
petición,381370,0.783
existentes,381093,0.783
realizada,380842,0.783
sombrero,380677,0.783
capítulos,380527,0.783
explotación,380471,0.783
colocar,380421,0.783
gráfico,380370,0.783
uniforme,380315,0.783
destacar,380307,0.783
circulación,380225,0.783
descansar,380061,0.783
sabiendo,380055,0.783
tocó,380040,0.783
iglesias,379968,0.783
casarse,379750,0.783
islas,379629,0.783
adquisición,379495,0.783
basada,379412,0.783
novio,379143,0.783
conservación,379098,0.783
medias,379082,0.783
sacudió,379081,0.783
caminando,379078,0.783
habido,379054,0.783
probar,378987,0.783
deberías,378922,0.783
actuaciones,378796,0.783
interesado,378767,0.784
probabilidad,378480,0.784
mediados,378404,0.784
fenómenos,378362,0.784
canto,378323,0.784
noción,378220,0.784
adolescentes,378155,0.784
aceptación,378086,0.784
arquitectura,378075,0.784
triunfo,377922,0.784
hablan,377678,0.784
hagas,377555,0.784
elegante,377515,0.784
chaqueta,377087,0.784
brillo,377077,0.784
abandonado,376840,0.784
preocupes,376723,0.784
recepción,376665,0.784
alumno,376663,0.784
hilo,376474,0.784
expresiones,376440,0.784
conductas,376427,0.784
confiar,376103,0.784
visitas,376069,0.784
fundamento,376008,0.784
dejo,375508,0.784
tranquilidad,375436,0.784
pierde,375254,0.784
veían,375136,0.784
estuvieron,374319,0.784
cubierto,374281,0.784
suena,374193,0.784
metro,374168,0.784
sustancias,373820,0.784
efectiva,373632,0.784
sierra,373571,0.784
ala,373566,0.784
representan,373375,0.784
amado,373284,0.785
tratados,372869,0.785
cierre,372724,0.785
romanos,372692,0.785
aparentemente,372688,0.785
difusión,372627,0.785
cuero,372286,0.785
mínima,372224,0.785
lectores,372221,0.785
envió,372194,0.785
orgánica,372155,0.785
sexuales,372090,0.785
dolores,372017,0.785
sonreír,371799,0.785
físicas,371676,0.785
ríos,371594,0.785
ciudadano,371543,0.785
basado,371241,0.785
ejercer,371142,0.785
lógico,371121,0.785
clic,371083,0.785
divino,371080,0.785
perdida,371021,0.785
ofrecen,370957,0.785
iniciar,370673,0.785
instantes,370614,0.785
evidentemente,370511,0.785
estabilidad,370447,0.785
asesino,369866,0.785
afecto,369855,0.785
repuso,369319,0.785
rojas,369228,0.785
dará,368939,0.785
intenciones,368669,0.785
describir,368651,0.785
mencionado,368547,0.785
sienta,368543,0.785
literaria,368358,0.785
inmediata,368354,0.786
tendrás,368325,0.786
rara,368237,0.786
ocurrir,367877,0.786
pistola,367724,0.786
huir,367713,0.786
buscó,367571,0.786
eléctrica,367558,0.786
gustado,367357,0.786
podrías,367189,0.786
cuántos,367020,0.786
tesoro,366832,0.786
vehículos,366796,0.786
importe,366695,0.786
plantea,366482,0.786
atractivo,365924,0.786
costo,365761,0.786
cualidades,365639,0.786
fama,365538,0.786
oreja,365397,0.786
gentes,365314,0.786
técnicos,365291,0.786
sacrificio,365020,0.786
vea,364856,0.786
palma,364626,0.786
divertido,364531,0.786
pánico,364160,0.786
huevos,364035,0.786
siguieron,364018,0.786
estadounidense,363803,0.786
precisión,363657,0.786
llenos,363597,0.786
negativo,363439,0.786
roto,363298,0.786
permitía,363030,0.786
adaptación,362983,0.786
resultar,362977,0.786
formato,362788,0.786
falso,362706,0.786
desesperación,362475,0.787
deje,362355,0.787
aplica,362183,0.787
universidades,362128,0.787
negras,362099,0.787
básicas,361960,0.787
rayos,361814,0.787
cansado,361751,0.787
bajas,361678,0.787
precisa,361678,0.787
frutos,361530,0.787
guerrero,361495,0.787
viernes,361322,0.787
notar,361286,0.787
desaparecer,361198,0.787
hueso,361157,0.787
avanzar,361141,0.787
adquirir,360968,0.787
consigue,360922,0.787
perfección,360827,0.787
proteínas,360769,0.787
religiosas,360587,0.787
rama,360222,0.787
intimidad,360180,0.787
adoptar,360175,0.787
rural,359943,0.787
lento,359780,0.787
presentado,359740,0.787
voto,359730,0.787
situado,359625,0.787
amaba,359525,0.787
evangelio,359457,0.787
caras,359396,0.787
preocupado,359169,0.787
mantenía,358943,0.787
quede,358403,0.787
respectivamente,358390,0.787
besos,358172,0.787
europeos,358097,0.787
virtudes,358021,0.787
inversiones,358015,0.788
desayuno,358009,0.788
provoca,357999,0.788
pérdidas,357989,0.788
empecé,357822,0.788
salvación,357633,0.788
permaneció,357611,0.788
vacía,357599,0.788
trastorno,357585,0.788
externa,357398,0.788
trono,357398,0.788
cuidar,357270,0.788
alimento,357234,0.788
declaró,357092,0.788
hondo,357073,0.788
provincias,356931,0.788
supe,356927,0.788
distinción,356624,0.788
representante,356586,0.788
jefes,356456,0.788
visible,356157,0.788
conduce,356114,0.788
cuentan,355966,0.788
cargos,355834,0.788
inconsciente,355785,0.788
tormenta,355682,0.788
enamorado,355573,0.788
metido,355495,0.788
investigadores,355288,0.788
notable,355259,0.788
masas,355131,0.788
promover,354956,0.788
generaciones,354945,0.788
aseguró,354817,0.788
fotografías,354649,0.788
terapia,354493,0.788
empresarial,354475,0.788
penas,354423,0.788
tiró,354344,0.788
hagan,354272,0.788
permita,354102,0.789
etapas,354026,0.789
esperó,353946,0.789
liderazgo,353888,0.789
dibujo,353766,0.789
comedor,353693,0.789
hierba,353431,0.789
eventos,353264,0.789
tribunales,353224,0.789
verte,353183,0.789
celular,353016,0.789
digas,352716,0.789
inútil,352715,0.789
sonó,352607,0.789
viajar,352546,0.789
ambiental,352487,0.789
alteraciones,352144,0.789
descubrimiento,352007,0.789
conductor,351717,0.789
distrito,351705,0.789
alcanza,351592,0.789
vínculo,351572,0.789
relativo,351439,0.789
realizan,351328,0.789
conquista,351168,0.789
escritores,351111,0.789
cruzó,351079,0.789
sustancia,351024,0.789
plástico,351006,0.789
observaba,350952,0.789
verme,350829,0.789
mueve,350696,0.789
alternativas,350663,0.789
reconocido,350631,0.789
testigos,350542,0.789
hábitos,350351,0.789
sesiones,350312,0.789
intelectuales,350058,0.789
teniente,350018,0.789
territorial,349806,0.789
turno,349774,0.789
relevante,349691,0.790
cadenas,349680,0.790
sigo,349666,0.790
instalación,349378,0.790
cajas,349340,0.790
provocar,349257,0.790
coger,349222,0.790
trae,349101,0.790
deberíamos,349059,0.790
sirvió,349031,0.790
proporciona,349005,0.790
campamento,348923,0.790
esperado,348808,0.790
indicadores,348806,0.790
tengas,348757,0.790
normales,348700,0.790
disponibles,348035,0.790
útiles,347921,0.790
pastor,347896,0.790
alcalde,347854,0.790
ancho,347752,0.790
fundamentalmente,347744,0.790
averiguar,347610,0.790
cuerda,347553,0.790
fiebre,347467,0.790
anda,347280,0.790
bonito,347079,0.790
acercaba,347079,0.790
despertó,347005,0.790
basa,346945,0.790
griego,346903,0.790
italiano,346719,0.790
desempeño,346332,0.790
cubrir,345964,0.790
habiendo,345932,0.790
expertos,345860,0.790
ácido,345660,0.790
soporte,345583,0.790
culturas,345351,0.790
reacciones,345294,0.790
estrecha,345227,0.790
agricultura,345125,0.791
adiós,344797,0.791
maldita,344718,0.791
modificación,344660,0.791
músculo,344613,0.791
tiendas,344562,0.791
sepa,344482,0.791
abrigo,344416,0.791
dirigida,344399,0.791
tumba,344396,0.791
versos,344352,0.791
complejidad,344311,0.791
alcanzó,343892,0.791
razonable,343704,0.791
adicional,343700,0.791
entregó,343502,0.791
preciosa,343378,0.791
sudor,343177,0.791
curioso,343131,0.791
acero,342910,0.791
musical,342679,0.791
anillo,342578,0.791
disponer,342463,0.791
explicaciones,342376,0.791
caza,342346,0.791
temo,342317,0.791
antiguas,342302,0.791
entraron,342233,0.791
recientemente,342030,0.791
territorios,341947,0.791
broma,341751,0.791
adolescente,341682,0.791
contestar,341636,0.791
refugio,341591,0.791
cifras,341420,0.791
auténtico,341419,0.791
ficción,341263,0.791
médica,341245,0.791
daría,341199,0.791
cero,340796,0.791
críticas,340676,0.791
trate,340617,0.791
herido,340468,0.792
amarillo,340229,0.792
circunstancia,340203,0.792
