ngram,freq
it was just,2322257
could not have,2321529
what is it,2315171
to take a,2309343
he had no,2307993
she tried to,2300962
to get a,2300776
I was a,2297812
two of them,2297242
going to have,2295293
as if it,2291075
I 've never,2289197
out into the,2288788
she does not,2281901
he could see,2280985
to his feet,2280167
I tried to,2278522
some kind of,2270631
are you going,2268992
"up , and",2268374
what the hell,2261208
to see if,2258604
a man who,2253787
front of her,2251074
a piece of,2250214
and looked at,2250007
and did not,2246880
the bottom of,2244007
but I was,2241411
the man 's,2239652
I could see,2238399
but I can,2236252
was the only,2233343
if she was,2232726
of the day,2223951
to be in,2222279
as he was,2219405
he would be,2218141
did not say,2216225
this was the,2202961
I 'm so,2200791
I thought I,2199828
do not like,2193949
that there was,2191281
on the bed,2189498
have to do,2186825
he was the,2185709
that I had,2184316
let 's go,2181206
do not need,2178035
"me , but",2174309
you 'll be,2172547
do not be,2171506
do you have,2169499
front of him,2168951
you know that,2167995
it to the,2162203
to the floor,2159455
that ' s,2158602
into the room,2152686
back in the,2147537
and began to,2146150
that he 'd,2145355
supposed to be,2135975
want me to,2131853
the name of,2131433
if you want,2131270
and that 's,2131198
you are not,2131139
on the way,2131082
there was something,2130069
the last time,2124239
in the kitchen,2122634
to the other,2119590
he shook his,2118285
want to know,2117542
I ' ll,2115036
we 're going,2114626
I 'm just,2114258
in her eyes,2113691
out in the,2112454
to get the,2111545
back and forth,2108919
I 'm afraid,2102103
if she had,2100526
she was going,2095991
picked up the,2090702
a matter of,2089273
took a deep,2087780
the sight of,2085498
the way he,2085142
up on the,2078869
and I will,2076917
she shook her,2074630
what 's the,2072604
but he had,2072214
and tried to,2071962
could see the,2071217
it was only,2069913
of his own,2066967
to think about,2065553
for you to,2063818
but I did,2058596
in the dark,2054998
could not see,2054152
know how to,2048924
to get out,2048842
you would not,2047324
you 've been,2046272
I know that,2045243
to get to,2042302
in the first,2039421
not need to,2034320
on her face,2032929
the man who,2032161
have to go,2030503
did not you,2030308
to the side,2027892
"Oh , I",2027239
to tell me,2023685
he 's not,2022486
on to the,2020714
the only one,2019112
were going to,2018517
a chance to,2017385
of the way,2015873
you going to,2013027
the kind of,2011865
on the back,2011046
to think of,2004027
but she did,1998726
I was going,1996729
is not a,1996252
that did not,1996069
did not see,1995008
you have not,1992122
it in the,1988617
"him , he",1987523
it was as,1984404
to talk about,1979849
we did not,1974973
thank you for,1971581
stared at the,1969985
gave him a,1968784
I had no,1963131
to see her,1962966
in spite of,1961471
"you , and",1959759
I have been,1955979
there was not,1955753
the idea of,1955149
the next day,1954995
in the house,1948051
if I had,1941498
I can see,1940047
of all the,1939955
and I had,1939769
she had no,1938538
know what to,1938327
and she had,1937930
do not understand,1937833
in the end,1933416
wanted to be,1933290
out of here,1926882
of the other,1923585
and that was,1920776
as it was,1917765
did not look,1916614
did not mean,1911422
it was like,1909231
the front of,1908884
it would have,1906601
in his arms,1905615
was the first,1903163
at each other,1897722
a part of,1895373
that she could,1892338
was able to,1892260
the way to,1889216
it was an,1887823
and I can,1886149
and the other,1885017
at the moment,1883915
out on the,1883549
if they were,1880345
in his hand,1878132
he turned to,1877437
who had been,1877327
he took a,1874665
want to go,1873083
did not care,1871706
the only thing,1871368
have been a,1868856
looked down at,1862795
her in the,1860782
not have been,1856484
let out a,1855507
did not need,1855314
to have to,1851372
no matter how,1851168
to take the,1846300
and all the,1846257
going to get,1845440
what had happened,1843527
all of the,1843212
do not get,1841649
I was in,1841399
by the way,1838352
to make it,1834920
you 're right,1834602
against the wall,1827032
I 'll have,1826406
went back to,1825369
in a few,1824328
they had been,1823319
him to the,1823079
I ' d,1821059
there had been,1818638
in the past,1817226
"you , I",1814080
not to be,1813327
I told him,1813296
to deal with,1810068
she could see,1804537
and then I,1800400
sat on the,1796565
out to the,1794652
there would be,1793677
that she would,1791267
it was too,1790371
her to the,1786282
she was in,1785785
corner of the,1783549
it will not,1782582
know what I,1779943
of the night,1777225
are going to,1772240
to see him,1769770
that she 'd,1769431
what did you,1767435
was a good,1764488
what kind of,1762020
as if they,1761284
not at all,1759954
the young man,1758491
with a smile,1758468
back to her,1757568
at the top,1755839
of the car,1752915
I hope you,1750300
all of them,1749775
returned to the,1749034
I 'm glad,1748972
gave her a,1748916
was a little,1744796
think it 's,1744499
should not have,1744194
up from the,1742800
the door to,1741225
if he were,1740884
you think I,1738337
and then the,1736398
to make the,1736262
the center of,1735425
up at him,1734174
that was a,1734017
she would be,1733752
it 's been,1731966
"her , she",1729300
it on the,1729128
because of the,1728316
it might be,1727160
next to the,1726943
he 'd never,1723799
this was a,1721514
not help but,1720714
this was not,1719637
I think we,1716335
he was still,1711695
had come to,1711248
we 've got,1709598
"no , no",1709254
"now , and",1707941
her head and,1704267
how did you,1702374
that I 'm,1701377
said in a,1701130
and I could,1700655
for a second,1699842
are not you,1699332
to find a,1697155
she 'd never,1695184
looked at me,1695067
close to the,1694870
"time , and",1694741
why are you,1690661
and do not,1688386
seemed to have,1688358
not know if,1686834
I can do,1681986
what she was,1680083
I ' ve,1679816
in one of,1679014
away from her,1676446
what 's going,1672792
do not care,1670912
could have been,1669873
a way to,1668582
you want me,1664680
I was just,1663855
her eyes and,1662573
but that was,1661131
not be able,1658556
if it were,1657673
want to see,1657352
but did not,1654985
in a way,1654685
"it , I",1652349
but he could,1649134
as if the,1648044
to go back,1646657
he needed to,1646266
to see what,1644940
why do you,1643545
I had been,1638511
but she had,1638351
the other hand,1630180
was to be,1629483
but I could,1629370
the table and,1627653
"you , but",1627295
him on the,1626643
there were no,1626281
would be the,1622213
it seemed to,1622183
he knew that,1621902
if he 'd,1620102
with all the,1619345
and they were,1618330
do not even,1617241
I know it,1616393
to the house,1614470
you 're the,1613797
I should not,1613318
as she was,1612732
not in the,1610849
he ' s,1610484
to do that,1608735
would like to,1606330
was in a,1605043
not have the,1604881
she took a,1603878
me in the,1602340
as he had,1599029
on the edge,1598653
closed her eyes,1597927
and then she,1597315
can not believe,1597253
had to do,1597165
do not believe,1596666
was supposed to,1593658
it is the,1591036
what it was,1590648
when they were,1590272
"out , and",1588091
it must be,1587093
a few moments,1584438
that I could,1584106
nothing to do,1582044
they could not,1581905
but I have,1581817
"eyes , and",1579291
one of her,1577687
at the back,1577397
back of his,1574010
I 'd be,1572844
was going on,1571860
any of the,1569564
a great deal,1566429
the head of,1564371
not think I,1562536
if it 's,1561948
tell me what,1560966
that I have,1559841
all over the,1558803
some sort of,1557998
back on the,1556611
her mother 's,1555513
it was time,1555174
in the way,1553107
did not get,1552243
on the door,1551808
the next morning,1550261
need to be,1549214
but she could,1548548
when he had,1547875
and out of,1547856
are you sure,1545636
I went to,1545016
to tell him,1540219
a kind of,1539923
his eyes and,1539814
should have been,1536660
the direction of,1536185
of course I,1535047
I 'd been,1534767
of a man,1534739
the same thing,1534337
the way she,1534116
he began to,1533037
away from him,1530588
looking at the,1529776
if he could,1529113
I 'll take,1528740
both of them,1526573
at a time,1525870
to know that,1525668
over his shoulder,1524599
is not the,1522945
appeared to be,1521838
trying to get,1521837
do not see,1521794
at that moment,1518517
why did not,1517587
to know what,1517203
back to his,1516241
do not mind,1513069
to keep the,1513058
to the front,1510902
to say that,1510097
he can not,1509434
was the one,1507925
what you 're,1507587
would you like,1504477
to her feet,1503278
in the distance,1502455
had been the,1501926
into the kitchen,1500685
and when he,1499917
you think you,1499647
a number of,1497366
"well , you",1494994
what happened to,1494017
to each other,1491415
over and over,1489045
get back to,1489034
should not be,1486806
it 's like,1485027
I 'll get,1484427
but it is,1484225
she needed to,1483426
and took a,1482520
in such a,1481926
came to the,1481867
a sort of,1480052
the United States,1480052
to find the,1479485
looked like a,1478848
thought it was,1478755
she was the,1478275
"hand , and",1478151
you are a,1474583
at the table,1473700
only a few,1472353
he 'd be,1470862
the room and,1469475
in the direction,1468853
he had never,1468424
said as he,1468347
no matter what,1467637
know what you,1467610
we have a,1466662
for the rest,1465203
a little more,1462578
"yeah , I",1462172
more and more,1460458
you will be,1460409
out of it,1460362
it could be,1459111
of the bed,1459091
he will not,1456411
if you can,1455373
not have any,1454711
to have been,1454158
we 'll be,1453649
she turned to,1453338
I tell you,1450012
and he 'd,1447201
as if to,1445816
what I 'm,1444820
and you 're,1444510
I know what,1444225
of the most,1443778
if he did,1443655
but that 's,1442955
his father 's,1440307
as if I,1440040
of her own,1437816
one of my,1437098
Table of Contents,1436578
it had not,1431846
they were all,1431828
he saw the,1431203
to worry about,1430591
out of a,1430518
to tell her,1430468
in and out,1428974
they would not,1428456
I could have,1428333
when he 'd,1426782
I guess I,1426213
turned back to,1423528
to do so,1422976
to be able,1422957
bottom of the,1422504
for the next,1422338
a few seconds,1420553
"now , I",1420381
we 're not,1419918
there 's nothing,1418297
that I am,1417881
can not do,1415579
I looked at,1415092
the face of,1412674
that you are,1412402
need to get,1411902
as he could,1410818
as though he,1408518
she looked up,1407914
and I am,1406157
"well , it",1403165
what he had,1402944
I 'll go,1401908
and went to,1401242
did not feel,1399751
"back , and",1397161
he is not,1396877
the two men,1396274
he told me,1395017
and I did,1394760
a sense of,1393654
think about it,1392920
out the window,1392430
to come to,1391691
knew it was,1391516
want to do,1391457
back at the,1390792
had never been,1388935
the bed and,1388723
to try to,1388179
if she were,1386263
that does not,1386084
to the kitchen,1385991
not say anything,1385943
not even know,1385622
of the men,1384710
what 's wrong,1384513
half an hour,1378530
he seemed to,1376464
had been in,1376083
I think he,1376057
she was still,1375923
in the corner,1373586
give me a,1373553
which he had,1372821
the first place,1371960
in the face,1371375
there was an,1369225
could not get,1368481
him with a,1368058
you 'll have,1366710
in my life,1364639
up with a,1363779
I 'm here,1360914
it was so,1356864
his eyes were,1356854
closed his eyes,1355167
in the car,1353478
told me that,1351172
or at least,1350063
across the room,1347493
she 's a,1346671
that it would,1345740
walked over to,1345668
he must have,1344700
was no longer,1340850
he could have,1340358
"there , and",1339054
the same way,1338791
I 'll tell,1337839
he told her,1337736
of the two,1337725
"them , but",1337460
"door , and",1335447
you know how,1333271
let 's get,1332037
down at her,1330772
could not believe,1329541
you tell me,1329059
you were not,1327980
the smell of,1326541
of the city,1326145
and he 's,1325774
on the wall,1324868
that 's right,1324160
of one of,1322670
used to be,1322018
I know I,1321602
her father 's,1321207
how are you,1321044
was beginning to,1319681
them in the,1316222
if she 'd,1314779
up in a,1314371
a cup of,1314135
"room , and",1313984
he had the,1313553
the door of,1312205
to him and,1311490
walked to the,1310227
"no , it",1310112
was just a,1309701
and he could,1308743
of my life,1308595
at the bottom,1307264
because he was,1306109
of his life,1306082
she 's not,1305639
to the right,1305130
where he was,1303392
a few more,1303269
back of her,1302406
might as well,1301747
was not in,1301003
I thought it,1300922
that they had,1300337
when he saw,1300138
but they were,1300031
he was so,1298794
were in the,1298159
she knew that,1297130
they had not,1294615
her on the,1292899
if I could,1292767
she had never,1290819
down the hall,1288158
to keep her,1286226
why did you,1285892
you and I,1285028
up the stairs,1282188
but I think,1281236
the last thing,1280882
I think that,1280450
"well , that",1280334
next to her,1279903
have no idea,1279712
stared at him,1278253
where are you,1277784
that he did,1276115
the last of,1275199
down in the,1275138
closed the door,1274891
after a few,1274698
to one of,1274340
you know I,1272773
of the time,1272765
in his mind,1272433
if there was,1271874
as I was,1271610
did not take,1269836
open the door,1269751
when she 'd,1269032
out the door,1268581
sitting on the,1268461
not know why,1266944
I wish I,1266460
and he did,1266382
before he could,1266140
