ngram,freq
d ' elle -- même,39849
ne faut - il pas,39784
garde - à - vous,39753
"dit - il , que",39589
lâcha - t - elle,39443
"t - il , le",39283
"t - il , je",39167
balbutia - t - elle,38955
t - il en la,38888
à 13h et de 14h,38865
au vendredi de 8h à,38788
au - dessus de tout,38784
États - Unis d' Amérique,38307
Ouvert le lundi de 14h,38302
de 12h à 14h et,38250
mais cette fois - ci,38005
au nord - est de,37955
au -- delà de la,37949
d' un demi - siècle,37850
de 9h à 12h30 et,37770
assura - t - il,37711
de l ' article L.,37490
au - dessus de nos,37416
de 9h30 à 12h30 et,37385
déclare - t - il,37364
d' œil par - dessus,37334
arrière - grand - père,37275
dans ce cas - là,37116
cessez - le - feu,37004
la fin des années 1960,36949
sur le qui - vive,36914
"t - il , la",36719
ajoute - t - elle,36713
président des États - Unis,36630
t - il avec une,36512
"lui - même , qui",36349
au nord - ouest de,36298
grogna - t - il,36154
et de 14h à 17h,36132
au sud - est de,36062
au début des années 1980,36045
par les États - Unis,36015
sera - t - elle,35949
"t - il , les",35869
de 10h à 13h et,35852
le week - end de,35839
au début des années 2000,35835
