ngram,freq,share,cumshare,rank
externe,561170,0.0,0.8266,4258
opinions,561168,0.0,0.8266,4259
curé,561093,0.0,0.8266,4260
destinées,561047,0.0,0.8266,4261
étroit,560923,0.0,0.8266,4262
sèche,560885,0.0,0.8267,4263
clarté,559869,0.0,0.8267,4264
gouvernance,559459,0.0,0.8267,4265
modernité,559115,0.0,0.8267,4266
vingtaine,559061,0.0,0.8267,4267
dégager,559057,0.0,0.8268,4268
fallut,559021,0.0,0.8268,4269
provenant,558951,0.0,0.8268,4270
informer,558910,0.0,0.8268,4271
indiens,558888,0.0,0.8268,4272
littéralement,558849,0.0,0.8269,4273
nécessite,558786,0.0,0.8269,4274
verres,558767,0.0,0.8269,4275
entretiens,558653,0.0,0.8269,4276
fondateur,558328,0.0,0.8269,4277
franchir,558309,0.0,0.827,4278
possédait,558218,0.0,0.827,4279
prévoit,558211,0.0,0.827,4280
inquiet,558064,0.0,0.827,4281
ignorance,558060,0.0,0.827,4282
rompre,558000,0.0,0.8271,4283
motivation,557941,0.0,0.8271,4284
traditionnel,557866,0.0,0.8271,4285
souffrances,557786,0.0,0.8271,4286
comptable,557647,0.0,0.8271,4287
attentes,557614,0.0,0.8271,4288
mariée,557564,0.0,0.8272,4289
individuel,557491,0.0,0.8272,4290
géographie,557171,0.0,0.8272,4291
reconnut,556694,0.0,0.8272,4292
conventions,556307,0.0,0.8272,4293
vengeance,556013,0.0,0.8273,4294
stabilité,555881,0.0,0.8273,4295
savoirs,555747,0.0,0.8273,4296
coutume,555495,0.0,0.8273,4297
sortait,555362,0.0,0.8273,4298
veiller,555104,0.0,0.8274,4299
communautaire,554930,0.0,0.8274,4300
variations,554922,0.0,0.8274,4301
puissances,554894,0.0,0.8274,4302
défaite,554639,0.0,0.8274,4303
ira,554379,0.0,0.8275,4304
âgé,554370,0.0,0.8275,4305
morales,554165,0.0,0.8275,4306
bateaux,553820,0.0,0.8275,4307
précédemment,553147,0.0,0.8275,4308
entraînement,553020,0.0,0.8276,4309
essayant,552828,0.0,0.8276,4310
veuve,552756,0.0,0.8276,4311
statistiques,552421,0.0,0.8276,4312
vrais,552336,0.0,0.8276,4313
redressa,552263,0.0,0.8277,4314
tenta,552182,0.0,0.8277,4315
demandai,552043,0.0,0.8277,4316
messe,552043,0.0,0.8277,4317
montrait,551668,0.0,0.8277,4318
universitaire,551578,0.0,0.8277,4319
invitation,551512,0.0,0.8278,4320
rendue,551035,0.0,0.8278,4321
mobilité,550734,0.0,0.8278,4322
reflet,550679,0.0,0.8278,4323
navires,550183,0.0,0.8278,4324
concentrer,550020,0.0,0.8279,4325
fur,549958,0.0,0.8279,4326
indiqué,549768,0.0,0.8279,4327
fusion,549597,0.0,0.8279,4328
répétition,549388,0.0,0.8279,4329
ouvrier,549168,0.0,0.828,4330
générales,548906,0.0,0.828,4331
conserve,548480,0.0,0.828,4332
observa,548330,0.0,0.828,4333
contacts,548265,0.0,0.828,4334
établit,548145,0.0,0.8281,4335
ch,547997,0.0,0.8281,4336
matinée,547955,0.0,0.8281,4337
limité,547932,0.0,0.8281,4338
plaine,547923,0.0,0.8281,4339
courses,547852,0.0,0.8281,4340
rends,547832,0.0,0.8282,4341
audience,547759,0.0,0.8282,4342
modifications,547569,0.0,0.8282,4343
pot,547464,0.0,0.8282,4344
bourse,547349,0.0,0.8282,4345
mec,547183,0.0,0.8283,4346
dispositifs,547113,0.0,0.8283,4347
supplémentaires,546826,0.0,0.8283,4348
travaillait,546823,0.0,0.8283,4349
dirigeant,546793,0.0,0.8283,4350
descendit,546588,0.0,0.8284,4351
contemporains,546575,0.0,0.8284,4352
négociations,546246,0.0,0.8284,4353
historien,546214,0.0,0.8284,4354
psychanalyse,545648,0.0,0.8284,4355
consentement,545320,0.0,0.8285,4356
privées,544759,0.0,0.8285,4357
ouvertes,544713,0.0,0.8285,4358
éclair,544628,0.0,0.8285,4359
pis,544599,0.0,0.8285,4360
flamme,544580,0.0,0.8285,4361
regardez,544576,0.0,0.8286,4362
augmente,544349,0.0,0.8286,4363
matériaux,544287,0.0,0.8286,4364
établie,543931,0.0,0.8286,4365
acier,543888,0.0,0.8286,4366
crut,543556,0.0,0.8287,4367
mirent,543364,0.0,0.8287,4368
aimais,543133,0.0,0.8287,4369
Maroc,543069,0.0,0.8287,4370
vélo,542923,0.0,0.8287,4371
fidélité,542907,0.0,0.8288,4372
lâcha,542863,0.0,0.8288,4373
édifice,542416,0.0,0.8288,4374
intellectuel,542297,0.0,0.8288,4375
plaque,542296,0.0,0.8288,4376
blessures,541907,0.0,0.8289,4377
japonais,541654,0.0,0.8289,4378
pertes,541502,0.0,0.8289,4379
lointain,541387,0.0,0.8289,4380
emmener,541309,0.0,0.8289,4381
violemment,541262,0.0,0.8289,4382
conservé,541223,0.0,0.829,4383
cohérence,541220,0.0,0.829,4384
singulier,541010,0.0,0.829,4385
malaise,540939,0.0,0.829,4386
adore,540875,0.0,0.829,4387
bonté,540638,0.0,0.8291,4388
Moscou,540532,0.0,0.8291,4389
montra,540404,0.0,0.8291,4390
comtesse,540306,0.0,0.8291,4391
métaphysique,539836,0.0,0.8291,4392
miel,539538,0.0,0.8292,4393
herbes,539385,0.0,0.8292,4394
multitude,539220,0.0,0.8292,4395
mathématiques,538976,0.0,0.8292,4396
obtient,538935,0.0,0.8292,4397
consommateurs,538805,0.0,0.8292,4398
inconnue,538738,0.0,0.8293,4399
présentant,538675,0.0,0.8293,4400
auberge,538656,0.0,0.8293,4401
jalousie,538355,0.0,0.8293,4402
imaginé,538351,0.0,0.8293,4403
vocabulaire,538272,0.0,0.8294,4404
appuyer,538204,0.0,0.8294,4405
linge,538144,0.0,0.8294,4406
remit,538069,0.0,0.8294,4407
feux,538047,0.0,0.8294,4408
alimentaires,537658,0.0,0.8295,4409
ad,537563,0.0,0.8295,4410
présentée,537053,0.0,0.8295,4411
posture,536782,0.0,0.8295,4412
immédiate,536537,0.0,0.8295,4413
excitation,536438,0.0,0.8295,4414
attaquer,536346,0.0,0.8296,4415
caractérise,536282,0.0,0.8296,4416
discussions,536270,0.0,0.8296,4417
restes,536225,0.0,0.8296,4418
cesser,536178,0.0,0.8296,4419
personnellement,536080,0.0,0.8297,4420
façons,536068,0.0,0.8297,4421
couvrir,535723,0.0,0.8297,4422
commencent,535616,0.0,0.8297,4423
préférence,535577,0.0,0.8297,4424
repérer,535527,0.0,0.8298,4425
transforme,535498,0.0,0.8298,4426
contenir,535341,0.0,0.8298,4427
interventions,535223,0.0,0.8298,4428
aîné,535166,0.0,0.8298,4429
obstacles,535078,0.0,0.8298,4430
airs,534957,0.0,0.8299,4431
recul,534681,0.0,0.8299,4432
amène,534614,0.0,0.8299,4433
utilisées,534524,0.0,0.8299,4434
stupide,534507,0.0,0.8299,4435
infirmière,534444,0.0,0.83,4436
exclusion,534436,0.0,0.83,4437
clos,534381,0.0,0.83,4438
ajouté,534371,0.0,0.83,4439
gagne,534247,0.0,0.83,4440
associée,534111,0.0,0.83,4441
aventures,534108,0.0,0.8301,4442
régimes,534065,0.0,0.8301,4443
capitaux,533943,0.0,0.8301,4444
goûter,533938,0.0,0.8301,4445
formidable,533897,0.0,0.8301,4446
africain,533817,0.0,0.8302,4447
puits,533805,0.0,0.8302,4448
confié,533751,0.0,0.8302,4449
tensions,533189,0.0,0.8302,4450
ressenti,533176,0.0,0.8302,4451
photographie,533099,0.0,0.8303,4452
puissants,533060,0.0,0.8303,4453
maternelle,533054,0.0,0.8303,4454
proportion,533017,0.0,0.8303,4455
sincère,532921,0.0,0.8303,4456
traversé,532762,0.0,0.8303,4457
accessible,532758,0.0,0.8304,4458
résumé,532730,0.0,0.8304,4459
tendant,532695,0.0,0.8304,4460
jouissance,532407,0.0,0.8304,4461
réalités,532324,0.0,0.8304,4462
nus,532140,0.0,0.8305,4463
encontre,531949,0.0,0.8305,4464
régional,531874,0.0,0.8305,4465
incendie,531862,0.0,0.8305,4466
dettes,531489,0.0,0.8305,4467
frappa,531349,0.0,0.8306,4468
insista,531341,0.0,0.8306,4469
manuscrit,531240,0.0,0.8306,4470
attachement,530955,0.0,0.8306,4471
organise,530725,0.0,0.8306,4472
ressentir,530678,0.0,0.8306,4473
vides,530571,0.0,0.8307,4474
rocher,530446,0.0,0.8307,4475
cherchent,530323,0.0,0.8307,4476
décidément,530225,0.0,0.8307,4477
marier,530135,0.0,0.8307,4478
spécialistes,529753,0.0,0.8308,4479
intéresser,529606,0.0,0.8308,4480
destinés,529592,0.0,0.8308,4481
princes,529570,0.0,0.8308,4482
provinces,529395,0.0,0.8308,4483
désire,529387,0.0,0.8308,4484
suffisait,529294,0.0,0.8309,4485
admirer,529274,0.0,0.8309,4486
seras,529237,0.0,0.8309,4487
savaient,528959,0.0,0.8309,4488
deviner,528939,0.0,0.8309,4489
fermeture,528862,0.0,0.831,4490
prévues,528811,0.0,0.831,4491
gamme,528444,0.0,0.831,4492
rendant,528412,0.0,0.831,4493
seize,528206,0.0,0.831,4494
vapeur,527853,0.0,0.831,4495
Autriche,527518,0.0,0.8311,4496
partit,527470,0.0,0.8311,4497
ouvrant,527455,0.0,0.8311,4498
paysages,527324,0.0,0.8311,4499
garantir,527257,0.0,0.8311,4500
féminine,527123,0.0,0.8312,4501
issu,527082,0.0,0.8312,4502
spéciale,526541,0.0,0.8312,4503
aiment,526499,0.0,0.8312,4504
amies,526407,0.0,0.8312,4505
enlever,526333,0.0,0.8313,4506
applications,526332,0.0,0.8313,4507
cave,526322,0.0,0.8313,4508
détruit,526171,0.0,0.8313,4509
proposent,525981,0.0,0.8313,4510
énormes,525893,0.0,0.8313,4511
sir,525769,0.0,0.8314,4512
intuition,525487,0.0,0.8314,4513
conforme,525441,0.0,0.8314,4514
fichier,525337,0.0,0.8314,4515
culturels,525079,0.0,0.8314,4516
législateur,524652,0.0,0.8315,4517
aimable,524416,0.0,0.8315,4518
occupée,524273,0.0,0.8315,4519
accueille,524245,0.0,0.8315,4520
télé,524201,0.0,0.8315,4521
déposer,524124,0.0,0.8315,4522
expansion,524017,0.0,0.8316,4523
forcé,523956,0.0,0.8316,4524
presses,523912,0.0,0.8316,4525
fondamental,523813,0.0,0.8316,4526
collaborateurs,523746,0.0,0.8316,4527
poèmes,523580,0.0,0.8317,4528
accompli,523472,0.0,0.8317,4529
intervient,523405,0.0,0.8317,4530
menée,523397,0.0,0.8317,4531
ruines,523344,0.0,0.8317,4532
piano,523327,0.0,0.8317,4533
partagé,522998,0.0,0.8318,4534
gouvernements,522873,0.0,0.8318,4535
dessert,522820,0.0,0.8318,4536
cahiers,522782,0.0,0.8318,4537
parlez,522667,0.0,0.8318,4538
prime,522640,0.0,0.8319,4539
conversion,522523,0.0,0.8319,4540
acquiesça,522508,0.0,0.8319,4541
philosophes,521986,0.0,0.8319,4542
négative,521949,0.0,0.8319,4543
termine,521925,0.0,0.8319,4544
dépression,521790,0.0,0.832,4545
richesses,521558,0.0,0.832,4546
contradiction,521501,0.0,0.832,4547
gouttes,521499,0.0,0.832,4548
fermée,521239,0.0,0.832,4549
scénario,520981,0.0,0.8321,4550
métro,520923,0.0,0.8321,4551
joindre,520917,0.0,0.8321,4552
contribué,520750,0.0,0.8321,4553
entouré,520656,0.0,0.8321,4554
occurrence,520500,0.0,0.8321,4555
étonnement,520338,0.0,0.8322,4556
reproche,520207,0.0,0.8322,4557
profondes,520104,0.0,0.8322,4558
littéraires,520103,0.0,0.8322,4559
indications,519972,0.0,0.8322,4560
créatures,519833,0.0,0.8323,4561
provoque,519704,0.0,0.8323,4562
sacs,519340,0.0,0.8323,4563
officiellement,519183,0.0,0.8323,4564
adhésion,519163,0.0,0.8323,4565
coloniale,518934,0.0,0.8323,4566
charité,518898,0.0,0.8324,4567
hanches,518771,0.0,0.8324,4568
chansons,518750,0.0,0.8324,4569
was,518615,0.0,0.8324,4570
réparation,518545,0.0,0.8324,4571
intellectuels,518485,0.0,0.8325,4572
immédiat,518410,0.0,0.8325,4573
co,517608,0.0,0.8325,4574
ventes,517573,0.0,0.8325,4575
alinéa,517465,0.0,0.8325,4576
proposa,517452,0.0,0.8325,4577
autonome,517316,0.0,0.8326,4578
circuit,517244,0.0,0.8326,4579
brillant,517065,0.0,0.8326,4580
fureur,516995,0.0,0.8326,4581
délicieux,516910,0.0,0.8326,4582
épaisse,516630,0.0,0.8327,4583
syndrome,516491,0.0,0.8327,4584
approches,516322,0.0,0.8327,4585
dessins,516079,0.0,0.8327,4586
sensibles,515646,0.0,0.8327,4587
salaires,515617,0.0,0.8327,4588
cuisson,515544,0.0,0.8328,4589
députés,515337,0.0,0.8328,4590
prétend,515017,0.0,0.8328,4591
embrasse,515016,0.0,0.8328,4592
restera,514881,0.0,0.8328,4593
cœurs,514880,0.0,0.8328,4594
foie,514860,0.0,0.8329,4595
expert,514755,0.0,0.8329,4596
filet,514639,0.0,0.8329,4597
explosion,514530,0.0,0.8329,4598
catastrophe,514310,0.0,0.8329,4599
indicateurs,514004,0.0,0.833,4600
diminution,513841,0.0,0.833,4601
autel,513732,0.0,0.833,4602
couvre,513688,0.0,0.833,4603
arrivant,513677,0.0,0.833,4604
up,513632,0.0,0.833,4605
soumettre,513493,0.0,0.8331,4606
appela,513477,0.0,0.8331,4607
rémunération,513354,0.0,0.8331,4608
regret,513097,0.0,0.8331,4609
déterminée,512857,0.0,0.8331,4610
rêver,512776,0.0,0.8332,4611
plainte,512700,0.0,0.8332,4612
blonde,512316,0.0,0.8332,4613
permanent,511911,0.0,0.8332,4614
rassurer,511887,0.0,0.8332,4615
pente,511880,0.0,0.8332,4616
viendra,511707,0.0,0.8333,4617
suffisant,511686,0.0,0.8333,4618
nobles,511605,0.0,0.8333,4619
considérés,511552,0.0,0.8333,4620
balance,511296,0.0,0.8333,4621
vus,511062,0.0,0.8333,4622
oblige,511044,0.0,0.8334,4623
lion,510738,0.0,0.8334,4624
industriel,510623,0.0,0.8334,4625
euh,510571,0.0,0.8334,4626
comparer,510564,0.0,0.8334,4627
options,510524,0.0,0.8335,4628
construite,510432,0.0,0.8335,4629
sympathique,510401,0.0,0.8335,4630
conversations,510218,0.0,0.8335,4631
Brésil,510007,0.0,0.8335,4632
lady,509934,0.0,0.8335,4633
originale,509931,0.0,0.8336,4634
monétaire,509921,0.0,0.8336,4635
surveiller,509810,0.0,0.8336,4636
bords,509552,0.0,0.8336,4637
tentatives,509551,0.0,0.8336,4638
failli,509447,0.0,0.8337,4639
attendit,509429,0.0,0.8337,4640
interaction,509371,0.0,0.8337,4641
juill,509354,0.0,0.8337,4642
présentes,509304,0.0,0.8337,4643
corruption,509142,0.0,0.8337,4644
franco,508957,0.0,0.8338,4645
brutalement,508950,0.0,0.8338,4646
réduite,508593,0.0,0.8338,4647
complètes,508361,0.0,0.8338,4648
couché,508224,0.0,0.8338,4649
correctement,508041,0.0,0.8338,4650
coûte,508034,0.0,0.8339,4651
paire,507915,0.0,0.8339,4652
clause,507653,0.0,0.8339,4653
requête,507459,0.0,0.8339,4654
ignorait,507294,0.0,0.8339,4655
colonies,507185,0.0,0.834,4656
mystérieux,507157,0.0,0.834,4657
trompe,507109,0.0,0.834,4658
sauvé,507094,0.0,0.834,4659
solitaire,506993,0.0,0.834,4660
jouir,506806,0.0,0.834,4661
éternelle,506732,0.0,0.8341,4662
tabac,506677,0.0,0.8341,4663
indifférence,506631,0.0,0.8341,4664
gêne,506534,0.0,0.8341,4665
accusé,506453,0.0,0.8341,4666
incident,506378,0.0,0.8341,4667
partisans,506374,0.0,0.8342,4668
combinaison,506303,0.0,0.8342,4669
débiteur,506260,0.0,0.8342,4670
prier,506224,0.0,0.8342,4671
découvertes,506185,0.0,0.8342,4672
tragique,506134,0.0,0.8343,4673
contraste,506114,0.0,0.8343,4674
retrouva,506001,0.0,0.8343,4675
aimée,505922,0.0,0.8343,4676
connaissais,505902,0.0,0.8343,4677
laissée,505862,0.0,0.8343,4678
formations,505558,0.0,0.8344,4679
tromper,505515,0.0,0.8344,4680
supposer,505442,0.0,0.8344,4681
négatif,505410,0.0,0.8344,4682
systématiquement,505102,0.0,0.8344,4683
thérapeutique,505065,0.0,0.8344,4684
tendances,504885,0.0,0.8345,4685
circulaire,504867,0.0,0.8345,4686
remercier,504780,0.0,0.8345,4687
pré,504569,0.0,0.8345,4688
variété,504490,0.0,0.8345,4689
pratiquer,504397,0.0,0.8346,4690
habite,504347,0.0,0.8346,4691
organisée,504257,0.0,0.8346,4692
coordination,504122,0.0,0.8346,4693
italienne,504015,0.0,0.8346,4694
courbe,503975,0.0,0.8346,4695
reçut,503915,0.0,0.8347,4696
talents,503642,0.0,0.8347,4697
assaut,503410,0.0,0.8347,4698
urbaine,503361,0.0,0.8347,4699
Venise,503312,0.0,0.8347,4700
arracher,502977,0.0,0.8347,4701
posant,502969,0.0,0.8348,4702
joyeux,502958,0.0,0.8348,4703
essaya,502824,0.0,0.8348,4704
are,502747,0.0,0.8348,4705
violente,502661,0.0,0.8348,4706
parla,502504,0.0,0.8348,4707
menaces,502354,0.0,0.8349,4708
ayez,502122,0.0,0.8349,4709
choisis,502031,0.0,0.8349,4710
ordonna,502020,0.0,0.8349,4711
charte,502006,0.0,0.8349,4712
interactions,501868,0.0,0.835,4713
sexualité,501790,0.0,0.835,4714
rituel,501733,0.0,0.835,4715
chapitres,501731,0.0,0.835,4716
compromis,501362,0.0,0.835,4717
maux,500982,0.0,0.835,4718
appréciation,500944,0.0,0.8351,4719
discrètement,500931,0.0,0.8351,4720
vieillard,500894,0.0,0.8351,4721
voulant,500687,0.0,0.8351,4722
traduire,500236,0.0,0.8351,4723
publications,500180,0.0,0.8351,4724
Pologne,500149,0.0,0.8352,4725
couches,500020,0.0,0.8352,4726
antiquité,500004,0.0,0.8352,4727
camps,499972,0.0,0.8352,4728
traditionnelles,499760,0.0,0.8352,4729
sûreté,499666,0.0,0.8353,4730
oubli,499488,0.0,0.8353,4731
bond,499418,0.0,0.8353,4732
décoration,499277,0.0,0.8353,4733
relais,498868,0.0,0.8353,4734
ambassadeur,498740,0.0,0.8353,4735
tentation,498616,0.0,0.8354,4736
évangile,498069,0.0,0.8354,4737
million,498042,0.0,0.8354,4738
suggère,498006,0.0,0.8354,4739
rapprocher,497757,0.0,0.8354,4740
formules,497589,0.0,0.8354,4741
centimètres,497457,0.0,0.8355,4742
porta,497295,0.0,0.8355,4743
vaisseau,496608,0.0,0.8355,4744
prêter,496591,0.0,0.8355,4745
prenne,496477,0.0,0.8355,4746
conférences,496419,0.0,0.8355,4747
trottoir,496284,0.0,0.8356,4748
ajoutez,496220,0.0,0.8356,4749
plongée,495989,0.0,0.8356,4750
explorer,495947,0.0,0.8356,4751
simplicité,495874,0.0,0.8356,4752
pistes,495831,0.0,0.8356,4753
occupait,495773,0.0,0.8357,4754
étonné,495450,0.0,0.8357,4755
pourvu,495112,0.0,0.8357,4756
placée,495086,0.0,0.8357,4757
systématique,494961,0.0,0.8357,4758
sentant,494689,0.0,0.8358,4759
poussée,494647,0.0,0.8358,4760
grecque,494355,0.0,0.8358,4761
nés,494351,0.0,0.8358,4762
couverts,494284,0.0,0.8358,4763
genèse,494273,0.0,0.8358,4764
contraint,494245,0.0,0.8359,4765
ateliers,494213,0.0,0.8359,4766
cabine,494204,0.0,0.8359,4767
tragédie,494184,0.0,0.8359,4768
historiens,494115,0.0,0.8359,4769
massif,493927,0.0,0.8359,4770
paramètres,493911,0.0,0.836,4771
rappelait,493728,0.0,0.836,4772
démonstration,493705,0.0,0.836,4773
relevé,493598,0.0,0.836,4774
goutte,493496,0.0,0.836,4775
rentrée,493352,0.0,0.836,4776
nerfs,493149,0.0,0.8361,4777
case,492997,0.0,0.8361,4778
compassion,492741,0.0,0.8361,4779
secrète,492479,0.0,0.8361,4780
recommandations,492325,0.0,0.8361,4781
observé,492039,0.0,0.8361,4782
rejet,491486,0.0,0.8362,4783
adolescents,491464,0.0,0.8362,4784
fatigué,491434,0.0,0.8362,4785
engagements,491314,0.0,0.8362,4786
facilité,491262,0.0,0.8362,4787
loisirs,491253,0.0,0.8363,4788
soigner,491181,0.0,0.8363,4789
économies,491124,0.0,0.8363,4790
offrait,491071,0.0,0.8363,4791
précaution,491070,0.0,0.8363,4792
terrestre,491058,0.0,0.8363,4793
constant,490848,0.0,0.8364,4794
suivait,490472,0.0,0.8364,4795
contribuer,490332,0.0,0.8364,4796
espérait,490283,0.0,0.8364,4797
bottes,490227,0.0,0.8364,4798
soutenu,490062,0.0,0.8364,4799
étages,489904,0.0,0.8365,4800
britanniques,489794,0.0,0.8365,4801
magasins,489645,0.0,0.8365,4802
ferais,489573,0.0,0.8365,4803
Platon,489570,0.0,0.8365,4804
Moïse,489346,0.0,0.8365,4805
brave,489333,0.0,0.8366,4806
soumise,489202,0.0,0.8366,4807
inspiré,489196,0.0,0.8366,4808
appelés,489129,0.0,0.8366,4809
pétrole,488921,0.0,0.8366,4810
méditation,488803,0.0,0.8366,4811
soc,488778,0.0,0.8367,4812
prières,488758,0.0,0.8367,4813
couples,488291,0.0,0.8367,4814
ivoire,488152,0.0,0.8367,4815
duchesse,488151,0.0,0.8367,4816
sortis,487904,0.0,0.8367,4817
soirées,487836,0.0,0.8368,4818
attendent,487704,0.0,0.8368,4819
blé,487565,0.0,0.8368,4820
démontrer,487498,0.0,0.8368,4821
protocole,487147,0.0,0.8368,4822
ours,487120,0.0,0.8368,4823
instar,487045,0.0,0.8369,4824
alerte,486795,0.0,0.8369,4825
absurde,486746,0.0,0.8369,4826
attendais,486734,0.0,0.8369,4827
this,486635,0.0,0.8369,4828
rendus,486009,0.0,0.837,4829
handicap,485966,0.0,0.837,4830
appels,485795,0.0,0.837,4831
réfugiés,485588,0.0,0.837,4832
voulons,485310,0.0,0.837,4833
fonde,485267,0.0,0.837,4834
attaques,485161,0.0,0.8371,4835
comprenant,485034,0.0,0.8371,4836
moulin,484930,0.0,0.8371,4837
acide,484898,0.0,0.8371,4838
réponds,484857,0.0,0.8371,4839
mystique,484855,0.0,0.8371,4840
travaillent,484716,0.0,0.8372,4841
toilette,484242,0.0,0.8372,4842
gamin,484234,0.0,0.8372,4843
démon,483991,0.0,0.8372,4844
indices,483952,0.0,0.8372,4845
agitation,483865,0.0,0.8372,4846
emblée,483858,0.0,0.8373,4847
rappela,483506,0.0,0.8373,4848
mm,483355,0.0,0.8373,4849
éprouve,483305,0.0,0.8373,4850
lot,483280,0.0,0.8373,4851
cahier,483196,0.0,0.8373,4852
doutes,483127,0.0,0.8374,4853
cage,482969,0.0,0.8374,4854
couler,482917,0.0,0.8374,4855
spécialiste,482747,0.0,0.8374,4856
commerciales,482447,0.0,0.8374,4857
caresse,482439,0.0,0.8374,4858
trafic,482396,0.0,0.8375,4859
administratives,482252,0.0,0.8375,4860
écrivait,481946,0.0,0.8375,4861
sacrée,481920,0.0,0.8375,4862
volumes,481813,0.0,0.8375,4863
jure,481795,0.0,0.8375,4864
quatorze,481788,0.0,0.8376,4865
monta,481694,0.0,0.8376,4866
hôtes,481628,0.0,0.8376,4867
éclats,481619,0.0,0.8376,4868
hésite,481483,0.0,0.8376,4869
installée,481391,0.0,0.8376,4870
amateurs,481100,0.0,0.8377,4871
détour,481072,0.0,0.8377,4872
survivre,480676,0.0,0.8377,4873
attitudes,480675,0.0,0.8377,4874
mettez,480615,0.0,0.8377,4875
tests,480444,0.0,0.8377,4876
reconnue,480143,0.0,0.8378,4877
carnet,480020,0.0,0.8378,4878
perçu,479956,0.0,0.8378,4879
nette,479728,0.0,0.8378,4880
nombres,479488,0.0,0.8378,4881
fiscale,479360,0.0,0.8378,4882
condamnation,479303,0.0,0.8379,4883
brun,479184,0.0,0.8379,4884
ironie,478740,0.0,0.8379,4885
contribue,478577,0.0,0.8379,4886
producteurs,478547,0.0,0.8379,4887
expertise,478529,0.0,0.8379,4888
compagnies,478367,0.0,0.838,4889
traversée,478235,0.0,0.838,4890
préoccupations,478229,0.0,0.838,4891
fameuse,478191,0.0,0.838,4892
aides,478070,0.0,0.838,4893
familiales,477792,0.0,0.838,4894
serpent,477717,0.0,0.8381,4895
enquêtes,477702,0.0,0.8381,4896
inclus,477609,0.0,0.8381,4897
tribunaux,477594,0.0,0.8381,4898
accompagnée,477559,0.0,0.8381,4899
apparente,477559,0.0,0.8381,4900
serment,477557,0.0,0.8382,4901
espérant,477417,0.0,0.8382,4902
verrons,477312,0.0,0.8382,4903
trad,477275,0.0,0.8382,4904
coffre,477181,0.0,0.8382,4905
embrassa,476957,0.0,0.8382,4906
posséder,476805,0.0,0.8383,4907
avancée,476520,0.0,0.8383,4908
clan,476507,0.0,0.8383,4909
bœuf,476507,0.0,0.8383,4910
tenaient,476279,0.0,0.8383,4911
fermement,476236,0.0,0.8383,4912
bu,476183,0.0,0.8384,4913
illustration,475930,0.0,0.8384,4914
pasteur,475809,0.0,0.8384,4915
pédagogique,475563,0.0,0.8384,4916
févr,475527,0.0,0.8384,4917
pomme,475520,0.0,0.8384,4918
loge,475428,0.0,0.8385,4919
conte,475338,0.0,0.8385,4920
flotte,475304,0.0,0.8385,4921
trouvera,475252,0.0,0.8385,4922
maritime,475203,0.0,0.8385,4923
relatifs,474823,0.0,0.8385,4924
tarifs,474768,0.0,0.8386,4925
éclata,474753,0.0,0.8386,4926
immigration,474737,0.0,0.8386,4927
briser,474013,0.0,0.8386,4928
grève,473990,0.0,0.8386,4929
sénat,473964,0.0,0.8386,4930
provisoire,473963,0.0,0.8387,4931
effectué,473920,0.0,0.8387,4932
adversaires,473765,0.0,0.8387,4933
boucle,473631,0.0,0.8387,4934
remplacé,473606,0.0,0.8387,4935
demandez,473570,0.0,0.8387,4936
belge,473206,0.0,0.8388,4937
respectivement,473080,0.0,0.8388,4938
glisse,473012,0.0,0.8388,4939
médiation,472783,0.0,0.8388,4940
détresse,472638,0.0,0.8388,4941
restés,472595,0.0,0.8388,4942
introduire,472570,0.0,0.8389,4943
violences,472456,0.0,0.8389,4944
géant,472419,0.0,0.8389,4945
circonstance,472277,0.0,0.8389,4946
complémentaires,472073,0.0,0.8389,4947
clef,472064,0.0,0.8389,4948
roche,471638,0.0,0.839,4949
rapides,471471,0.0,0.839,4950
treize,471430,0.0,0.839,4951
individuelles,471399,0.0,0.839,4952
appartiennent,470983,0.0,0.839,4953
séquence,470963,0.0,0.839,4954
réservation,470802,0.0,0.8391,4955
issues,470793,0.0,0.8391,4956
nommer,470728,0.0,0.8391,4957
intéressante,470709,0.0,0.8391,4958
blessés,470614,0.0,0.8391,4959
possèdent,470572,0.0,0.8391,4960
sérieuse,470406,0.0,0.8391,4961
tournait,470245,0.0,0.8392,4962
monument,470207,0.0,0.8392,4963
consacrée,470140,0.0,0.8392,4964
citron,469394,0.0,0.8392,4965
rangs,469371,0.0,0.8392,4966
jetant,469344,0.0,0.8392,4967
donnez,469307,0.0,0.8393,4968
hésitation,469229,0.0,0.8393,4969
évoqué,469214,0.0,0.8393,4970
souhaitait,469121,0.0,0.8393,4971
interroge,469010,0.0,0.8393,4972
hôte,469001,0.0,0.8393,4973
révélé,468828,0.0,0.8394,4974
suffisante,468798,0.0,0.8394,4975
traversa,468793,0.0,0.8394,4976
auras,468762,0.0,0.8394,4977
concernent,468247,0.0,0.8394,4978
émissions,468163,0.0,0.8394,4979
sors,467902,0.0,0.8395,4980
vitre,467865,0.0,0.8395,4981
chaos,467671,0.0,0.8395,4982
innombrables,467504,0.0,0.8395,4983
parles,467486,0.0,0.8395,4984
sanction,467348,0.0,0.8395,4985
disciples,467309,0.0,0.8396,4986
joueurs,467300,0.0,0.8396,4987
appuyant,467282,0.0,0.8396,4988
légal,467222,0.0,0.8396,4989
cuire,467187,0.0,0.8396,4990
contes,467095,0.0,0.8396,4991
monuments,467086,0.0,0.8397,4992
