ngram,freq,share,cumshare,rank
moment,14546942,0.0005,0.5456,150
droit,14503715,0.0005,0.5461,151
main,14414360,0.0005,0.5466,152
avaient,14384685,0.0005,0.5471,153
devant,14245428,0.0005,0.5476,154
place,14055546,0.0005,0.5481,155
état,13991705,0.0005,0.5486,156
pays,13881088,0.0005,0.5491,157
quelque,13772597,0.0005,0.5496,158
comment,13688690,0.0005,0.55,159
travail,13651524,0.0005,0.5505,160
personne,13622275,0.0005,0.551,161
nos,13304622,0.0005,0.5514,162
chaque,13297784,0.0005,0.5519,163
ceux,13195573,0.0005,0.5524,164
pendant,13168610,0.0005,0.5528,165
doit,13085324,0.0005,0.5533,166
eux,13002317,0.0005,0.5537,167
partie,12994040,0.0005,0.5542,168
grande,12973995,0.0005,0.5546,169
corps,12892701,0.0004,0.5551,170
bon,12866955,0.0004,0.5555,171
mère,12802820,0.0004,0.556,172
sens,12773740,0.0004,0.5564,173
part,12731342,0.0004,0.5569,174
porte,12712825,0.0004,0.5573,175
aurait,12614059,0.0004,0.5578,176
histoire,12598263,0.0004,0.5582,177
premier,12549903,0.0004,0.5586,178
parce,12547751,0.0004,0.5591,179
avais,12527841,0.0004,0.5595,180
hommes,12486129,0.0004,0.5599,181
France,12482080,0.0004,0.5604,182
première,12470397,0.0004,0.5608,183
pourquoi,12326226,0.0004,0.5612,184
beaucoup,12242332,0.0004,0.5617,185
dieu,12138397,0.0004,0.5621,186
effet,12116176,0.0004,0.5625,187
toi,11935035,0.0004,0.5629,188
tant,11903322,0.0004,0.5633,189
souvent,11751248,0.0004,0.5638,190
années,11714531,0.0004,0.5642,191
ci,11700547,0.0004,0.5646,192
nouveau,11469982,0.0004,0.565,193
jours,11452675,0.0004,0.5654,194
the,11449542,0.0004,0.5658,195
jeune,11425422,0.0004,0.5662,196
oui,11357246,0.0004,0.5666,197
quoi,11341073,0.0004,0.567,198
pouvoir,11288801,0.0004,0.5674,199
question,11217176,0.0004,0.5677,200
plusieurs,11194459,0.0004,0.5681,201
ton,11164737,0.0004,0.5685,202
prendre,11164153,0.0004,0.5689,203
as,11159920,0.0004,0.5693,204
mort,11159869,0.0004,0.5697,205
côté,11144495,0.0004,0.5701,206
mal,11071933,0.0004,0.5705,207
fin,11064619,0.0004,0.5708,208
enfants,10969026,0.0004,0.5712,209
maison,10934214,0.0004,0.5716,210
serait,10914567,0.0004,0.572,211
seul,10729949,0.0004,0.5724,212
nom,10690062,0.0004,0.5727,213
lieu,10666323,0.0004,0.5731,214
politique,10660423,0.0004,0.5735,215
voix,10606029,0.0004,0.5739,216
compte,10508142,0.0004,0.5742,217
également,10499070,0.0004,0.5746,218
selon,10489321,0.0004,0.5749,219
enfin,10441488,0.0004,0.5753,220
ville,10438973,0.0004,0.5757,221
seulement,10415000,0.0004,0.576,222
cœur,10405290,0.0004,0.5764,223
mieux,10380798,0.0004,0.5768,224
air,10348541,0.0004,0.5771,225
eu,10334830,0.0004,0.5775,226
sais,10295723,0.0004,0.5778,227
exemple,10278028,0.0004,0.5782,228
avons,10162225,0.0004,0.5786,229
regard,10134536,0.0004,0.5789,230
enfant,9996238,0.0003,0.5793,231
petite,9878428,0.0003,0.5796,232
reste,9878407,0.0003,0.5799,233
savoir,9753416,0.0003,0.5803,234
sera,9687114,0.0003,0.5806,235
raison,9666630,0.0003,0.581,236
fit,9655990,0.0003,0.5813,237
lorsque,9630884,0.0003,0.5816,238
maintenant,9514931,0.0003,0.582,239
avez,9484625,0.0003,0.5823,240
coup,9474545,0.0003,0.5826,241
dès,9438465,0.0003,0.583,242
eau,9416024,0.0003,0.5833,243
ailleurs,9394478,0.0003,0.5836,244
façon,9339397,0.0003,0.5839,245
près,9296482,0.0003,0.5843,246
terre,9293326,0.0003,0.5846,247
esprit,9289253,0.0003,0.5849,248
nouvelle,9250437,0.0003,0.5852,249
pouvait,9129748,0.0003,0.5855,250
nuit,9106442,0.0003,0.5859,251
besoin,9104644,0.0003,0.5862,252
