chinese_simplified,english,english-fiction,french,german,hebrew,italian,russian,spanish
,a,a,à,,ה,e,а,y
,I,I,a,,ב,a,б,e
,,,y,,א,è,в,a
,,,,,ר,i,ж,o
,,,,,ל,o,и,u
,,,,,מ,,к,
,,,,,י,,о,
,,,,,ו,,с,
,,,,,ז,,у,
,,,,,ד,,я,
,,,,,ת,,э,
,,,,,נ,,,
,,,,,ש,,,
,,,,,כ,,,
,,,,,ג,,,
,,,,,ח,,,
,,,,,ק,,,
,,,,,ס,,,
,,,,,ע,,,
,,,,,פ,,,
,,,,,צ,,,
