ngram,freq
גאולה כהן ( התחיה,3371
המאה התשע -- עשרה,3349
"פירש רש "" י",3347
עובדיה עלי ( הליכוד,3321
הנושא בסדר -- היום,3318
ביתנו ) : אדוני,3292
"שיטת הרמב "" ם",3264
המאה ה -- 20,3258
"יצחק כהן ( ש""ס",3255
יעקב ליצמן ( יהדות,3250
גדעון עזרא ( הליכוד,3226
