ngram,freq
"о том , что",3164904
"в том , что",2776181
"для того , чтобы",1356442
"на то , что",1141605
"за то , что",790196
"после того , как",697279
"о том , как",663797
в то же время,608406
"так же , как",551480
в том числе и,500392
"тех пор , пока",485666
"к тому , что",462241
"с тем , что",411379
"в том , чтобы",408946
"то , что он",401729
бы то ни было,382846
в то время как,378546
В то же время,344013
"же , как и",343621
"до того , как",332773
"и то , что",319024
"то , что я",318004
"том , что он",311187
ни в чем не,289841
"от того , что",289443
"том , что в",285260
до сих пор не,284731
одно и то же,278489
"о том , чтобы",277284
"на то , чтобы",267397
"не знал , что",253697
и в то же,252462
"тот факт , что",246541
и в самом деле,228062
"в то , что",227530
"том случае , если",223729
"из-за того , что",220408
"из того , что",217266
"только потому , что",213760
"Я знаю , что",207541
"то , что в",203534
"тот момент , когда",201352
"не знаю , что",193462
"тех пор , как",193415
"то , что она",189181
В связи с этим,185602
"к выводу , что",181420
"на том , что",181397
"том , что я",178047
"был уверен , что",175243
Ã ¶ ¼ Í,173648
ни в коем случае,172836
"то , что они",172598
"не так , как",170619
"только тогда , когда",169933
как один как раз,165993
"в порядке , установленном",164590
"я понял , что",163984
"не потому , что",163448
ни о чем не,162919
"то время , когда",158583
"к тому , чтобы",158307
"не знаю , как",156872
"может быть , и",156340
"в виду , что",156150
раз как один как,155249
как раз как один,155155
"не то , что",154575
же же же же,154175
"все то , что",152963
ни за что не,152368
"том , что она",151747
"О том , что",150520
"том , что они",149571
Ã ¿ Á Ì,149537
¼ Í ¾ Ì,149336
"мне кажется , что",149008
"только то , что",148034
¼ ¶ ¾ ¹,147373
все больше и больше,146809
"вместо того , чтобы",146259
"того , что он",145874
один и тот же,145832
"я знаю , что",145070
"то , что мы",144736
"Я думаю , что",144278
"не знала , что",142223
"то , что ты",141715
"в случае , если",141096
"то , о чем",139602
вы в этот момент,138002
"то , что не",136984
"часто говорил , что",135007
"то , что вы",133188
я убрал из круга,133125
плакальщика из круга общения,133109
общения : ___________________________________________________________ Мои,133109
из круга своего общения,132843
он постоянно жаловался на,132834
на отсутствие денег и,132822
О внесении изменений в,132820
для удовлетворения моих потребностей,132816
жаловался на отсутствие денег,132807
постоянно жаловался на отсутствие,132788
что он постоянно жаловался,132784
Сегодня я убрал из,132780
убрал из круга своего,132780
"говорил , что богатые",132778
людей для своего окружения,132777
сделал попытку влезть в,132776
сегодня откуда взять деньги,132769
Я сделал попытку влезть,132765
богатых людей для своего,132765
любого плакальщика из круга,132764
денег мне надо сегодня,132764
сегодня для удовлетворения моих,132764
мне надо сегодня для,132764
Мои идеи сегодня откуда,132764
денег и часто говорил,132764
Сколько денег мне надо,132764
богатые -- отвратительные люди,132764
я всегда убираю любого,132764
Отныне я всегда убираю,132764
Где найти богатых людей,132764
отсутствие денег и часто,132764
идеи сегодня откуда взять,132764
более богатый круг общения,132764
всегда убираю любого плакальщика,132764
найти богатых людей для,132764
попытку влезть в более,132764
надо сегодня для удовлетворения,132764
в более богатый круг,132764
влезть в более богатый,132764
что богатые -- отвратительные,132764
убираю любого плакальщика из,132764
заинтересовать более богатых чем,131960
богатых чем я людей,131960
более богатых чем я,131960
Чем заинтересовать более богатых,131960
Информация по состоянию на,130299
"это то , что",129815
¾ ¿ ÂÃ ¹,129091
"при условии , что",128756
не обращая внимания на,127839
что бы то ни,127737
"до того , что",127153
в соответствии с законодательством,126581
"не значит , что",126392
Федерального Собрания Российской Федерации,126345
не очень - то,126342
"перед тем , как",126231
так же как и,125582
из стороны в сторону,125116
в коем случае не,123424
"что иное , как",123363
Правительства Российской Федерации от,122917
"пор , пока не",122894
"и сказал , что",122198
"того , что я",121790
как ни в чем,119765
одни и те же,119753
в общем - то,119551
введен Федеральным законом от,119403
"тех случаях , когда",118848
"Мне кажется , что",118274
бы то ни стало,117737
"и все , что",117441
"было то , что",117336
"для тех , кто",117000
"Кроме того , в",116504
"не было , и",115530
"это значит , что",114882
не говоря уже о,114208
"После того , как",114196
во что бы то,114175
в чем не бывало,114110
"том , что у",113533
"то же , что",113237
"таким образом , чтобы",112782
"из тех , кто",112069
"я поняла , что",111464
в той или иной,110835
"можно сказать , что",110576
"с того , что",110057
в том числе в,108567
"я думаю , что",108462
одной и той же,108433
у меня не было,108092
но в то же,108091
"А то , что",106881
у него не было,106364
Несмотря на то что,106310
"стало ясно , что",105283
"Это означает , что",104067
"Следует отметить , что",103928
"он понял , что",103342
несмотря на то что,102459
"не знает , что",102352
"Это значит , что",102195
Ежевечернее заполнение отчета в,101948
заполнение отчета в 21-00,101948
отчета в 21-00 Сегодня,101509
в 21-00 Сегодня я,101509
½ ¿ ⋅ ¾,99923
"с тем , чтобы",99910
"В случае , если",99304
"Я хочу , чтобы",98758
и вместе с тем,98284
"того , что в",97889
"Таким образом , в",96899
"за тем , как",96774
"Он знал , что",96592
круга своего общения ___________________________потому,96588
общения ___________________________потому что он,96588
своего общения ___________________________потому что,96588
"же , что и",96175
введена Федеральным законом от,95272
"том , что мы",94627
не так уж и,94584
"тем , что в",94531
только в том случае,93965
"было видно , что",93815
"потому , что он",93664
"том , что это",92569
"хочу , чтобы ты",92390
"не хочу , чтобы",91582
"того , как он",91068
"не зная , что",90876
"тот день , когда",90765
"то , что у",90648
"Не думаю , что",90605
"мне показалось , что",90584
В то время как,90541
все более и более,90492
"была уверена , что",90363
"не думал , что",90172
одного и того же,89879
"Нет , я не",89606
"все , что я",89528
"Он сказал , что",89453
Собрание законодательства Российской Федерации,89038
с Вашим « Внешним,88486
Вашим « Внутренним Я,87949
с Вашим « Внутренним,87949
Вашим « Внешним Я,87719
"то , что было",87485
"на то , как",87467
"Не знаю , как",87305
в Нью - Йорке,87303
"мне казалось , что",87188
г. Информация по состоянию,87175
что на самом деле,86786
½ À ± ¾,86747
À ± ¾ ¹,86600
раз именно собственно что,86559
"А что , если",86311
и до сих пор,86191
ни с кем не,86100
один как раз как,85945
"является то , что",85593
"и понял , что",85143
"не было , а",84619
"бы , если бы",84615
как раз именно собственно,84614
"и потому , что",83729
власти субъектов Российской Федерации,83413
"том смысле , что",82730
"том , что все",82557
Я имею в виду,82451
ÈÃ ¿ ² Ì,82395
"не означает , что",82377
на территории Российской Федерации,82324
"не было , но",81747
"Не знаю , что",81612
"понял , что это",81584
"том месте , где",81448
Ã ¹ ³ ¾,81440
"я понимаю , что",80989
¾ Ì ½ ¹,80541
"не думаю , что",80423
"так , как будто",80314
один как раз именно,80264
"сделать так , чтобы",79726
"того , как я",79668
"а то , что",79661
"это означает , что",79601
в тот же день,79538
одном и том же,79437
Как бы то ни,79236
"таким образом , что",79019
¾ ¶ ¾ ¹,78492
и к тому же,77882
Федерального закона « О,77862
"Я знал , что",77549
федеральным органом исполнительной власти,77330
и в конце концов,77303
μ ¶ ¾ ¹,77183
с ног до головы,77045
"то обстоятельство , что",76966
"казалось , что он",76742
"Для того , чтобы",76456
и на этот раз,76450
одну и ту же,76368
"в голову , что",76250
но тем не менее,76105
"показалось , что он",75625
"а может , и",75041
"В том , что",75016
"Надо сказать , что",74933
"каждый раз , когда",74884
"с теми , кто",74847
"все , что было",74827
"же самое , что",74616
"не знал , как",74468
"что , несмотря на",74414
"тем более , что",74089
"и , может быть",74027
"Я понимаю , что",73868
ÂÃ ³ ¶ ¾,73767
"все равно , что",73674
ни на что не,73669
"вид , что не",73438
"За то , что",73428
и в голову не,73378
"не заметил , как",73236
"том , что на",73029
"том , что не",72963
É ¶ ¾ ¹,72727
"том , что вы",72667
я имею в виду,72576
¾ ¾ Ì Æ,72328
"за то , чтобы",72239
"такой же , как",71983
"он знал , что",71563
Æ ¿ μ ¹,71522
"по тому , что",71474
"не меньше , чем",71470
"в надежде , что",71454
"за тем , чтобы",71375
"Тем более , что",70981
"ты думаешь , что",70881
"не сомневался , что",70643
влечет наложение административного штрафа,70509
"того , что она",70420
И тем не менее,69969
"тем , что он",69618
"Мне казалось , что",69420
"том случае , когда",69376
"и тем , что",69110
я так и не,68861
с ноги на ногу,68704
но так и не,68567
с законодательством Российской Федерации,68551
"и увидел , что",68347
подход -- 10 повторений,68337
"а потому , что",68052
соответствии с законодательством Российской,68008
"Мне показалось , что",67757
"как правило , не",67750
в соответствии со статьей,67619
ни к чему не,67598
"потому , что я",67523
¼ ¶ ¾ ¾,67433
а на самом деле,67338
разминочный подход -- 10,67213
"гораздо больше , чем",66788
по - прежнему не,66490
"он сказал , что",66257
"тех , кто не",66171
"могу сказать , что",66155
"сделал вид , что",66067
"потому , что в",65749
Â » ¿ ¼,65665
"лишь то , что",65597
"г. , призван в",65544
"того , что они",65305
"того , что мы",65143
спросил : -- А,65084
"том , что его",65016
сказал : -- Я,64825
изложить в следующей редакции,64555
и с тех пор,64482
"Можно сказать , что",63703
"больше , чем в",63409
À ¿ Â ¼,63373
"на том , чтобы",63292
"ты знаешь , что",63260
"мере того , как",63233
À ¿ ¼ ¾,63044
"ради того , чтобы",62943
"или , по крайней",62871
"Не исключено , что",62652
½ ¶ ¾ Ã,62586
"все , что он",62483
"и , несмотря на",62442
¾ ¹ ¶ ½,62139
Ни в коем случае,62118
"а значит , и",62005
"то время , как",62001
"знаю , что ты",61792
"потому , что не",61758
È ¶ ¾ ¹,61720
"лишь потому , что",61714
свободы на срок до,61534
наложение административного штрафа на,61396
в связи с этим,61338
"о том , кто",61217
"всякий раз , когда",61019
"того места , где",60957
"лишь тогда , когда",60876
"то , что ему",60658
"потому , что они",60474
"обо всем , что",60443
"я хочу , чтобы",60430
"она поняла , что",60331
"вы думаете , что",60286
"не знали , что",60235
"одной стороны , и",60055
Ç ¹ ¿ ¾,59921
одним и тем же,59851
он так и не,59801
если иное не предусмотрено,59628
на самом деле не,59574
Â ¾ ¿ ³,59560
"Может быть , это",59553
"делать то , что",59197
"Так же , как",59168
В тот же день,59021
"и те , кто",58955
в зависимости от того,58932
"Я понял , что",58871
"сразу понял , что",58800
"я знал , что",58770
"не думала , что",58724
Å ¿ Á ½,58705
Верховного Суда Российской Федерации,58691
"меня , и я",58565
"И то , что",58518
"том , что ты",58203
"Я считаю , что",57903
"и , как следствие",57715
"все , что угодно",57686
"про то , что",57644
бы там ни было,57534
"вероятность того , что",57472
одна и та же,57392
что ни на есть,57343
М. : Издательство Юрайт,57242
"в случаях , предусмотренных",57168
но на самом деле,57166
"А может , и",56985
"то место , где",56531
"просто потому , что",56308
что у меня есть,56282
Напиши на что отвлекался________________________,56189
¾ ¾ ¿ º,56060
у нее не было,55954
"именно потому , что",55874
"по тому , как",55855
лишением свободы на срок,55782
"мы знаем , что",55652
законодательные акты Российской Федерации,55599
"может быть , даже",55494
"Я думал , что",55448
"было ясно , что",55412
"в том , как",55396
"Ты знаешь , что",55355
"и сказала , что",55354
"в Украине , проживающий",55316
"кроме того , что",55260
"и , кроме того",55120
μ ¶ º ÂÃ,55071
"Я уверен , что",55027
"то , что на",55007
времени____________________________ Напиши на что,54998
Потрачено времени____________________________ Напиши на,54998
том числе и в,54849
"ему казалось , что",54840
"такой степени , что",54814
"может , и не",54813
"так сильно , что",54805
"не знаешь , что",54778
так и не удалось,54762
"я думал , что",54553
ДЕНЬ ________ Задача выучить,54499
в связи с чем,54417
до : __________________________________ Потрачено,54317
Поставлена ________________________________ Успеть до,54300
с головы до ног,54170
½ ¶ ¾ ¾,53980
несмотря ни на что,53973
так и не смог,53964
Государственной Думы Федерального Собрания,53906
Ã ¿ ¼ Í,53903
"к сожалению , не",53776
¾ ¾ Ì ½,53746
федеральных органов исполнительной власти,53674
½ ¶ ¾ ¹,53664
Задача выучить частоупотребляемую фразу_____________________________________,53606
я до сих пор,53591
"Кроме того , он",53508
"сделать вывод , что",53483
"давая понять , что",53463
и по сей день,53401
"я уверен , что",53322
